Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Save Me,Donna McDaniel,spotify:track:2Joq1oxXUS5boRs8DjQiyW,0.649,0.718,5,-8.087,1,0.0352,0.336,3.11e-06,0.15,0.945,126.541,194769,4,48.68322,10,1
Love Me Again,Rita Coolidge,spotify:track:7vYpMAhNCvBFNWXTLQXgtN,0.529,0.326,8,-10.462,1,0.0317,0.604,3.14e-05,0.129,0.133,141.21,217373,4,33.54182,12,1
Wisdom Through Music,Pharoah Sanders,spotify:track:2vWutVrTmPpphh1kiMBV7x,0.363,0.53,2,-14.943,1,0.0469,0.886,0.523,0.296,0.828,113.652,343320,4,71.50861,13,0
New England - Live,The Modern Lovers,spotify:track:3sYDMGXaYRdu3X2j0yUor2,0.508,0.229,4,-22.262,1,0.191,0.905,0.000287,0.63,0.626,99.261,152733,4,63.19933,6,0
Psycho Killer,Talking Heads,spotify:track:1i6N76fftMZhijOzFQ5ZtL,0.721,0.521,2,-8.123,1,0.0612,0.0707,0.00552,0.127,0.942,123.118,261413,4,40.30083,9,1
En un Lugar un NiÃÂÃÂ±o,Psiglo,spotify:track:64khehwHYPh15G3xAk5rhg,0.665,0.58,7,-7.499,1,0.0478,0.0983,2.38e-06,0.109,0.712,113.704,232208,4,65.28991,10,0
Ain't That Loving You (For More Reasons Than One),Isaac Hayes & David Porter,spotify:track:18zKxJIMjdfHjAXMdTXdNJ,0.622,0.602,7,-10.774,1,0.0393,0.173,0,0.167,0.796,119.079,261880,4,28.00912,11,1
What Goes Up (Must Come Down),Tyrone Davis,spotify:track:3ZoIJGI84b6A0OOa9qq6E6,0.684,0.703,4,-7.213,0,0.0512,0.0904,0,0.146,0.729,110.546,217160,4,20.91656,9,1
Taking Some Time On,Barclay James Harvest,spotify:track:4Oxb1RBbnUUaUwMUvSUDnG,0.228,0.885,0,-10.738,1,0.0587,0.000997,0.143,0.319,0.963,190.715,330333,4,33.6689,14,0
Border Song,Elton John,spotify:track:4gpxT82T8ZzRWknBH30Zey,0.434,0.297,0,-11.042,1,0.0287,0.763,2.73e-06,0.0898,0.289,130.388,202067,4,39.24582,7,1
Separate Ways,Elvis Presley,spotify:track:0g8CHbsID9fZ8eDstzYtHi,0.462,0.371,4,-15.326,1,0.0443,0.901,0.0092,0.133,0.506,89.976,156440,4,32.86041,8,1
Oh Yeah,CAN,spotify:track:1XmPGkMS7d0xEBbclF1Z2j,0.394,0.722,0,-11.447,1,0.0444,0.0372,0.191,0.0815,0.268,98.576,443093,4,36.24366,13,0
Jesus Is Just Alright - Live,The Byrds,spotify:track:7s1DSQFt4xeLUV3YvpBjvd,0.583,0.845,9,-8.685,0,0.0697,0.386,0,0.983,0.882,144.577,188960,4,22.79813,9,0
Say Maybe,Neil Diamond,spotify:track:1LZjWATmwUzxnliXNJShss,0.559,0.234,4,-18.687,1,0.0315,0.279,0,0.0573,0.372,112.381,246627,4,27.47053,13,1
Mass Production,Iggy Pop,spotify:track:6ZnUeaJSgc5aRmRWfjOkH9,0.41,0.594,0,-8.782,1,0.0468,0.222,0.0223,0.403,0.09,131.45,507781,4,48.59671,16,0
November,CAN,spotify:track:4wyMSFGhXFNTk2oHhJ9zLN,0.364,0.821,10,-9.707,1,0.0418,0.511,0.904,0.159,0.777,130.618,468880,4,35.20489,21,0
Chevy Van,Sammy Johns,spotify:track:31S6oGx81hVIjWz6cu5oNw,0.449,0.547,9,-12.259,1,0.0351,0.457,0,0.0737,0.74,152.211,179000,4,32.62747,11,1
Roadrunner,Jonathan Richman & The Modern Lovers,spotify:track:2A0VyjrAJQPXVKxRzxEePG,0.455,0.845,2,-6.676,1,0.0344,4.31e-05,0.000118,0.128,0.818,75.663,245453,4,30.52737,12,0
Perfect Angel,Minnie Riperton,spotify:track:7docNdBWkb0O4Q13ZGvVTb,0.678,0.614,7,-9.929,1,0.125,0.715,1.24e-06,0.132,0.683,93.079,222240,4,20.00232,12,0
Il nautilus,Gianni Ferrio,spotify:track:2dQhZOvrIbgbDFZRFkeF92,0.0766,0.0386,0,-28.909,1,0.0482,0.962,0.898,0.109,0.0366,177.191,131519,3,17.08626,8,0
Teenage Kicks,The Undertones,spotify:track:4wNATViXFXHOKsGgEehnBT,0.415,0.782,2,-6.745,1,0.0461,0.0011,0,0.14,0.564,135.029,148480,4,58.43906,6,0
Knock On Wood,Amii Stewart,spotify:track:6120uJUyg6QDzaAJUosTx5,0.689,0.805,2,-11.199,1,0.0429,0.0019,8.23e-05,0.0683,0.914,140.791,250520,4,29.22379,10,1
Give Me The Chance,Donnie & Joe Emerson,spotify:track:719xOHsYh4WqlNG1ngWodz,0.598,0.741,3,-10.628,0,0.0548,0.189,0.000645,0.083,0.757,94.751,173627,4,60.34484,8,0
Up For The Down Stroke,Parliament,spotify:track:7bQ3ANugLPZCPsRl8le3VQ,0.653,0.941,6,-5.973,0,0.0854,0.528,0.00179,0.598,0.6,94.259,307987,4,31.61804,12,1
Still In Love With You - Live,Thin Lizzy,spotify:track:3pwzNvsejMZWODkO18ilCs,0.324,0.539,11,-11.851,1,0.0422,0.281,0.241,0.897,0.383,136.286,461133,4,33.60719,18,0
Ballero,War,spotify:track:6CP29pnRkJ70sc4XI9Axap,0.745,0.712,9,-11.675,1,0.0326,0.45,0.664,0.359,0.724,122.595,203427,4,31.30498,9,1
London Calling - Remastered,The Clash,spotify:track:5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0,-7.34,1,0.0513,0.123,0,0.0825,0.776,133.763,200480,4,20.14068,9,0
Ooh Las Vegas - Remastered,Emmylou Harris,spotify:track:5s1JcCoc88HPLpfKKX3Hly,0.367,0.73,9,-8.363,1,0.0636,0.778,0.0931,0.767,0.675,135.698,223867,4,49.59164,9,0
Ballad Of Sir Frankie Crisp (Let It Roll),George Harrison,spotify:track:0sX4OzAtIubFc4s9y5KrB7,0.442,0.591,11,-9.595,0,0.0279,0.0707,0.391,0.133,0.419,89.607,228373,4,46.41969,8,0
Boys Don't Cry,The Cure,spotify:track:1QFh8OH1e78dGd3VyJZCAC,0.462,0.836,11,-5.766,0,0.0621,0.00517,0,0.18,0.671,168.766,155973,4,23.37993,7,0
Goodbye Pork Pie Hat,Jeff Beck,spotify:track:77wOpffkkQtZpdrvhPKbFq,0.497,0.374,0,-10.741,0,0.0359,0.541,0.132,0.125,0.261,114.836,330360,3,26.22743,18,0
Sodom,CAN,spotify:track:0Y4CoJ0k7CBZ2Dg1jJ8eDy,0.491,0.547,7,-9.412,1,0.027,0.285,0.439,0.0904,0.0685,100.243,344533,4,62.25927,14,0
La liceale seduce i professori 11,Gianni Ferrio,spotify:track:27oUeibmnnopejQ8HIFFC7,0.54,0.793,10,-9.725,1,0.0842,0.143,0.374,0.329,0.951,140.386,117133,4,63.87197,5,0
There's A Kind Of Hush (All Over The World),Carpenters,spotify:track:53jmJCdP9tiIWS7Gm2t1iz,0.758,0.544,2,-10.696,1,0.0341,0.187,9.98e-05,0.0627,0.942,126.642,183533,4,23.25329,12,1
Sadie,The Spinners,spotify:track:75p30ULq3zCo7QnIPMh6xy,0.471,0.603,2,-6.544,1,0.204,0.655,0,0.0553,0.622,168.604,328867,4,34.34923,11,1
U.S. Of A,Donna Fargo,spotify:track:1qSpiIyVeryIudDoWUw5YL,0.262,0.487,4,-12.71,1,0.078,0.862,0.0108,0.113,0.396,73.599,223667,4,33.87377,11,1
James Dean,Eagles,spotify:track:0HznRAeJLyGtyLZgecDiLI,0.481,0.894,9,-7.213,1,0.0415,0.00602,0.0149,0.191,0.562,140.9,218269,4,24.52661,7,1
Down in the Park,Gary Numan / Tubeway Army,spotify:track:2vmBGX73EXJIAAN6nesH6T,0.404,0.464,5,-12.477,1,0.0306,0.000542,0.206,0.261,0.127,74.644,264333,4,22.15739,11,0
Raised On Robbery,Joni Mitchell,spotify:track:4C1jo6AbILMbE4TlAjXfVl,0.554,0.777,0,-5.782,1,0.0332,0.168,0,0.128,0.832,142.872,187773,4,20.53786,7,1
Mr. Sellack,The Roches,spotify:track:3TBeNvNMUHTRArg6EsceCo,0.686,0.048,2,-18.84,1,0.0371,0.879,0,0.0755,0.453,130.51,243345,4,44.49739,11,0
Rubylove - Demo Version,Yusuf / Cat Stevens,spotify:track:29YB2Wc4Bd39mgeOAFx00X,0.675,0.27,4,-14.781,1,0.0603,0.932,0.0854,0.0932,0.334,151.178,173013,3,25.22823,9,0
Together,The Illusion,spotify:track:0moOdsvd8f8emEmKfbAX6r,0.515,0.572,3,-8.607,1,0.0261,0.0598,0.0508,0.0846,0.778,134.857,286467,4,22.74547,14,1
Call Me (Come Back Home),Al Green,spotify:track:2THyR0on3DrsfXBtRrLZgK,0.683,0.392,10,-13.213,1,0.0293,0.596,3.43e-06,0.227,0.679,99.79,184907,4,29.70104,11,1
Lookin' Out My Back Door,Creedence Clearwater Revival,spotify:track:1dSsswb9lTyp7XseBSwKxM,0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318,152453,4,69.03489,6,0
