Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
An Even Whiter Car,The Associates,spotify:track:5NApnPPpRhIN5hihLR160s,0.529,0.914,9,-7.621,0,0.0471,0.39,0.915,0.253,0.139,92.413,285133,4,51.57326,12
Straw Towels,The Associates,spotify:track:3Wf6qm28gQcgblUcZRLZ6t,0.474,0.914,5,-4.835,1,0.0971,0.0039,0.872,0.852,0.204,164.352,317373,4,31.52587,14
Kissed,The Associates,spotify:track:4m7vmxTtyuElphUgONdOft,0.667,0.774,2,-6.183,0,0.0411,0.000113,0.827,0.182,0.316,146.029,373227,4,62.02047,11
Fearless (It Takes a Full Moon),The Associates,spotify:track:1LB44kZwAklvVzvanm9uje,0.424,0.657,4,-6.023,1,0.0512,0.56,4.64e-06,0.0573,0.625,173.893,218213,4,30.82607,12
Point Si,The Associates,spotify:track:2N3AdcHUsX6aZYbs4CxCnx,0.67,0.71,9,-4.403,1,0.0324,0.283,0.197,0.0512,0.665,107.16,317280,4,21.56305,16
Blue Soap,The Associates,spotify:track:54JC7iG6JbpSK4eS2WSRu2,0.51,0.14,2,-18.299,1,0.424,0.983,0.745,0.521,0.38,77.577,235280,4,48.55628,10
The Tree That Never Sang,The Associates,spotify:track:6d6ctxzqR4KLgXSiVMNtDI,0.754,0.819,8,-4.765,1,0.0459,0.0233,0.0309,0.0631,0.285,117.826,340227,3,40.38952,16
Straw Towels - Demo Version,The Associates,spotify:track:643tYj27mpsGQDd9tWl4Sk,0.414,0.929,0,-5.317,0,0.236,0.00131,0.786,0.224,0.376,162.009,302867,4,33.05355,12
Q Quarters - Demo Version,The Associates,spotify:track:2i737NERe4QBcyjreZuZob,0.823,0.24,7,-12.866,1,0.0702,0.194,0.0623,0.0754,0.58,114.503,305733,4,62.1332,14
White Car In Germany,The Associates,spotify:track:62fM92pLZLOnoxgBNsHTsB,0.616,0.46,7,-6.804,1,0.0296,0.112,0.00226,0.108,0.376,92.293,329427,4,27.03714,12
