Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
My Up And Down	Adina Howard	spotify:track:3XmaNnRquEYkDjw2ODrjjz	0.712	0.647	8	-4.149	1	0.0987	0.206	1.05e-06	0.046	0.7	140.216	221093	4	44.03005	8	1
Devash	Chris & Cosey	spotify:track:2C9cmPqcx6o50cqrzXqnmg	0.526	0.524	1	-19.372	1	0.044	0.155	0.718	0.101	0.0934	119.911	470200	4	56.67594	19	0
Stayin' Alive	N-Trance	spotify:track:7pcjhiKODADooP7IFPgetr	0.805	0.863	6	-7.853	0	0.0771	0.0515	0.000427	0.98	0.826	106.787	245907	4	31.96659	9	1
Speak Low	Grant Green	spotify:track:4jxfZWelS1CJf6tNADO4xa	0.501	0.644	7	-11.119	0	0.0543	0.793	0.0329	0.2	0.688	128.912	433907	4	21.43697	20	0
Everybody Be Somebody	Ruffneck Featuring Yavahn	spotify:track:5tpVALLHkoSJykjhmE4UQi	0.758	0.874	11	-4.804	0	0.0504	0.00202	0.418	0.0544	0.621	125.007	280320	4	30.73473	9	1
Sinatra	Helmet	spotify:track:5n4HiXIkGjxlBlbeUbbBsv	0.107	0.864	2	-7.513	1	0.0554	0.00123	0.0159	0.0617	0.279	169.319	263000	4	32.33462	7	0
On the Upside	Xena	spotify:track:1S4YVRL02Fmqi9Es3k3rZB	0.68	0.731	0	-12.697	0	0.0751	0.00144	0.0512	0.512	0.903	118.887	351133	4	51.24466	15	0
I've Been Wrong Before	The Buckinghams	spotify:track:4wu0YkNpYPcvj7oquptoGa	0.476	0.672	9	-12.753	1	0.0745	0.247	0	0.136	0.677	77.63	114907	4	23.2577	7	0
Time For Letting Go	Jude Cole	spotify:track:6aArMs4YuTg3mzxrtZV4cc	0.708	0.564	5	-9.322	1	0.0266	0.182	0.00015	0.11	0.771	109.491	259693	4	78.47097	10	1
Sportin Life	Flamin' Groovies	spotify:track:6tBsSGASZEEA1SJILyDZIE	0.409	0.325	4	-12.049	1	0.0294	0.458	0.242	0.141	0.758	98.873	320000	4	44.17108	13	0
Breed	Nirvana	spotify:track:5drcC8MOaSDONgXJbWbMJp	0.262	0.969	4	-4.675	1	0.0894	3.69e-06	0.00213	0.133	0.263	158.433	184040	4	65.05011	8	0
I Will Go With You (Con Te Partiro)	Donna Summer	spotify:track:433m5xRcVM3jFm3IuijkKs	0.566	0.864	6	-6.045	0	0.0629	0.118	0	0.333	0.441	129.909	247933	4	24.53054	10	1
Angry Chair	Alice In Chains	spotify:track:5jCp5VtcpUlHtW8Dwlx13Y	0.325	0.937	8	-6.295	1	0.085	0.0443	0	0.0442	0.158	106.989	287800	4	24.14698	13	0
All Or Nothing	Milli Vanilli	spotify:track:7sS1P9f8SDyl03hqC1etWU	0.877	0.85	1	-13.03	1	0.0726	0.0154	0.00369	0.114	0.809	100.733	200600	4	25.4563	9	1
Little League	Cap'n Jazz	spotify:track:6wPXvudEW0YVImqv6jr0RE	0.299	0.913	9	-7.645	1	0.0598	0.00158	0.00331	0.122	0.156	101.059	236560	3	35.38017	8	0
Steal My Sunshine	Len	spotify:track:4agp6oHofabdUedr0B1krj	0.413	0.829	4	-11.111	1	0.529	0.394	0	0.108	0.677	191.477	265533	4	35.393	11	1
Hurt So Bad	Little Anthony & The Imperials	spotify:track:6DQujLikM8f13WhvnRPyi8	0.438	0.55	4	-9.426	0	0.0649	0.518	0	0.246	0.337	109.026	135160	4	38.82636	6	0
Sex And Candy	Marcy Playground	spotify:track:5mkGfmJGFZpwK9nA5amOhv	0.67	0.558	2	-9.159	1	0.0251	0.238	0	0.106	0.63	80.511	173493	4	41.44192	8	1
Brown Eyed Girl	Van Morrison	spotify:track:4myBMnNWZlgvVelYeTu55w	0.478	0.678	7	-7.032	1	0.0364	0.29	0	0.577	0.892	151.466	182960	4	94.88316	7	0
Fade Into You	Mazzy Star	spotify:track:1LzNfuep1bnAUR9skqdHCK	0.42	0.33	9	-13.925	1	0.0275	0.245	0.000679	0.0677	0.175	157.143	295600	3	19.18169	14	1
Dominion / Mother Russia	Sisters of Mercy	spotify:track:669AJATkSuneVqfnq3UbBb	0.609	0.908	5	-11.387	1	0.0487	0.00865	0.437	0.0731	0.354	120.189	423373	4	25.13239	18	0
Where Ever You Are	Terry Ellis	spotify:track:2AyRyaIASwwqE7RNVCedss	0.732	0.499	5	-6.794	1	0.0346	0.52	8.62e-06	0.0842	0.428	134.027	298080	4	29.41039	9	1
Keep On Running - Mono Version	The Spencer Davis Group	spotify:track:6ftH8Mtm6seGGTA8e4jooj	0.644	0.567	9	-11.737	1	0.0394	0.289	0	0.315	0.943	140.556	165227	4	34.92129	10	0
Tap The Bottle	Young Black Teenagers	spotify:track:1tqpUCOGNVjUOKvOqxChRb	0.889	0.608	11	-9.396	1	0.287	0.00134	0	0.0852	0.569	104.005	240107	4	28.48796	14	1
Take My Advice	Kym Sims	spotify:track:5KhAzdjCDy6MZai1P0RJAe	0.737	0.814	2	-10.396	1	0.0307	0.00019	0.392	0.0844	0.803	120.01	283227	4	169.11724	8	1
Cleopatra's Cat	Spin Doctors	spotify:track:2XIqE0nhuX3GW8R45m7qEa	0.626	0.735	2	-8.475	1	0.093	0.349	1.78e-05	0.0877	0.477	99.701	244267	4	34.5744	8	1
Think Of You	Usher	spotify:track:1FlDtQBj95pnFbS9kCTZEI	0.71	0.431	0	-8.333	1	0.0388	0.0553	4.23e-05	0.0537	0.553	93.105	229333	4	24.02991	9	1
She Has A Way	Bobby O	spotify:track:0eGOA5qcyPOOO8eZmQd1KY	0.677	0.727	2	-12.849	1	0.0388	0.0844	0.0118	0.0724	0.765	124.174	353467	4	24.39742	15	0
Daisy Mae	The Seeds	spotify:track:51aJimIffF79BjyflAVC4e	0.483	0.478	11	-16.82	1	0.0455	0.0859	0	0.112	0.966	96.015	117493	4	31.42757	7	0
Daughter	Pearl Jam	spotify:track:1N6ufONdqo8Lltpq7F4tcz	0.623	0.639	7	-10.818	1	0.0285	0.023	0.00152	0.0887	0.73	96.925	234227	4	33.09753	12	0
Manhattan	Blossom Dearie	spotify:track:6YKaMiBldwcoUp88U2OsmY	0.38	0.0283	8	-26.24	1	0.0418	0.955	0.000415	0.11	0.157	93.284	254320	4	45.55626	13	0
Dreamer	The Seahorses	spotify:track:1S8jMx0DYTHdZ6NAd9kBba	0.441	0.658	7	-8.779	1	0.026	0.000636	0.402	0.168	0.189	88.016	210200	4	43.46085	9	0
Spend My Life with You	Eric BenÃÂÃÂÃÂÃÂ©t	spotify:track:58s4iqgXFzXhBndBkg2AaD	0.583	0.435	8	-8.784	1	0.0386	0.434	5.49e-05	0.102	0.292	72.01	276013	4	27.82509	8	0
A Better Love	Londonbeat	spotify:track:1fALXFVWhnXVME9MNCQmt1	0.616	0.6	9	-14.772	1	0.0331	0.0944	0.000121	0.336	0.792	95.743	240400	4	44.06955	12	1
Disco 2000	Pulp	spotify:track:2aC8wwfrM0YeTAzzk8hxqC	0.565	0.902	7	-7.579	0	0.0725	0.0132	0	0.0561	0.544	133.11	273573	4	36.96062	11	0
Prison Sex	TOOL	spotify:track:6bBfqZW47dwndIfYQcB0VR	0.49	0.78	11	-8.535	0	0.131	0.000288	0.0197	0.108	0.388	108.138	296320	4	61.38928	12	0
I'm Ready	Royal Trux	spotify:track:5yVMq7huSox5QNYYUG5Q2R	0.328	0.927	9	-5.168	0	0.0931	0.00494	0.524	0.365	0.283	103.349	238707	4	35.27443	11	0
Informer	Snow	spotify:track:0aczPsm4hJBGJ3dtiP0fBV	0.895	0.551	11	-11.442	1	0.0978	0.174	0	0.0572	0.909	98.71	253267	4	36.0994	9	1
If I Give My Heart to You (with The Mellomen) - 78rpm Version	Doris Day	spotify:track:4iA7VrynXRu8YJeBjSlCza	0.503	0.059	9	-16.131	1	0.0497	0.973	0	0.103	0.331	76.642	169067	4	32.9578	6	0
Tu Amante o Tu Enemigo	Miguel Gallardo	spotify:track:2xFcw6Oo4FsrO22fj1O8SA	0.666	0.749	4	-7.534	1	0.0313	0.116	0.00651	0.287	0.841	133.691	179133	4	36.71624	11	0
Whip Appeal	Babyface	spotify:track:4D13ulAZI1V7PG7Zg1Ar7r	0.454	0.548	11	-7.421	0	0.0476	0.309	0	0.076	0.598	73.011	349840	4	42.92575	16	1
Lunchbox	Marilyn Manson	spotify:track:1EYTOP6cIzADbgxCFG87ML	0.452	0.952	9	-6.499	1	0.218	0.00442	0.121	0.302	0.305	168.065	272800	4	40.70656	10	0
Nothing Natural	Lush	spotify:track:6zrL6etENCa2ZEwnPcxGkb	0.448	0.794	11	-12.176	0	0.0331	0.00635	0.813	0.0632	0.926	105.98	354640	4	34.19251	15	0
Stranger In My Mirror	Randy Travis	spotify:track:6T7Je3bIf8fU11OI4Yhf3C	0.705	0.7	8	-5.626	1	0.0318	0.617	0	0.155	0.89	139.818	195467	4	41.09168	8	1
How's It Going To Be	Third Eye Blind	spotify:track:3Uvx1TO0Kg5HgGPk58lHXv	0.562	0.593	5	-9.362	1	0.0263	0.00327	0.00139	0.0967	0.574	80.289	253413	4	22.58257	8	1
Do You Know (What It Takes)	Robyn	spotify:track:0idCpkJ2pspfAILbanmERu	0.635	0.74	3	-4.439	0	0.0355	0.00465	0.0152	0.129	0.857	200.102	221293	4	16.14569	11	1
If It Makes You Happy	Sheryl Crow	spotify:track:5XrfFo0JFOnWD9ZMNXGkQh	0.543	0.681	7	-7.091	1	0.0289	0.0482	8.43e-05	0.104	0.292	95.415	323400	4	87.07597	10	1
What I Didn't Know	Athenaeum	spotify:track:00rGtsA6s1ymgW70p1LzlM	0.539	0.93	11	-6.035	1	0.0624	0.0138	0	0.0673	0.584	127.454	218440	4	36.16801	11	1
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T	spotify:track:3kPFTuTu8rBgSoglYRBRiE	0.83	0.859	7	-9.213	1	0.124	0.000971	0	0.214	0.654	109.321	283307	4	33.57268	15	1
I Got A Man	Positive K	spotify:track:4iAYo83eWlktjw97oebIal	0.812	0.753	7	-13.252	1	0.118	0.0774	0	0.341	0.787	103.754	232773	4	31.64807	9	1
Foolish Thing Desire	Daniel Ash	spotify:track:09VvKlNFoLSvS986hbsPJm	0.352	0.63	0	-9.585	1	0.0274	6.43e-06	0.894	0.133	0.297	185.571	330133	4	39.04967	15	0
Super Unison	Drive Like Jehu	spotify:track:2MViGvLTiC1YM3mC5CM5X4	0.186	0.982	9	-6.061	1	0.169	0.00698	0.736	0.0891	0.094	168.023	444893	4	28.39716	16	0
Daydreamin'	Tatyana Ali	spotify:track:0ALJZXgutuN6F680E8lQPs	0.882	0.57	1	-7.565	1	0.0832	0.0886	6.54e-06	0.0932	0.815	96.785	300133	4	40.57181	10	1
Freak of the Week	Marvelous 3	spotify:track:5eR2WL7ZHLpGv5PfFT9iEJ	0.618	0.82	11	-4.593	0	0.0577	0.000543	0	0.546	0.51	130.709	200640	4	42.2806	10	0
The First Night	Monica	spotify:track:5rWzxloNXvbRPhlC1O2b6T	0.671	0.766	1	-9.218	0	0.0634	0.139	0	0.26	0.906	152.088	235573	4	30.28588	12	1
Page of Life	Jon Anderson	spotify:track:2Yp0GXKoAlVUbuayc7Dict	0.329	0.266	5	-12.238	1	0.0287	0.764	0	0.118	0.21	73.25	196027	4	35.62842	8	0
Peace In The Valley	Sam Cooke	spotify:track:0dt77CzU2tlKwUR5hlC99X	0.41	0.196	2	-11.96	1	0.0278	0.896	0	0.204	0.605	98.082	162293	4	37.20212	6	0
Whippin' Piccadilly	Gomez	spotify:track:3YeoPH0tOthe65p5zPlJqg	0.736	0.491	1	-10.359	1	0.0452	0.583	0	0.345	0.731	114.661	192240	4	39.39229	10	0
Easy Street	Soul Asylum	spotify:track:7wvXLLoYgZVyfCpD4GeNwu	0.444	0.934	2	-9.886	1	0.0604	0.000427	0.00911	0.0315	0.417	91.844	214293	4	37.60259	10	0
Venus In Blue Jeans	Mark Wynter	spotify:track:29ucvlrdcXSvfl1CUI7Cf7	0.498	0.573	0	-7.06	1	0.0294	0.393	8.26e-06	0.336	0.631	119.327	130600	4	45.42642	7	0
