Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Run And Hide,"Speed, Glue & Shinki",spotify:track:0rfGELJpovFIA7J3NBKThG,0.418,0.552,0,-11.793,1,0.0402,0.0107,0.825,0.286,0.367,132.853,290064,4,24.04144,14
Williamson County,Gary Stewart,spotify:track:2bVtOSCim052Vsm05qTk6e,0.544,0.362,2,-14.588,1,0.034,0.444,0.00162,0.389,0.723,97.151,190320,4,42.09704,9
'Cause I Love You,Lenny Williams,spotify:track:03eVpHrGANUcDXDGRXFgGr,0.51,0.311,10,-12.441,0,0.056,0.573,0,0.131,0.377,132.25,430000,3,45.92326,16
Free,Spot,spotify:track:0Hu6xUl9l9n032cJ9aNdzh,0.421,0.547,9,-13.404,1,0.0441,0.0462,0.000157,0.364,0.603,153.36,271840,4,38.942,14
Reuters - 2006 Remastered Version,Wire,spotify:track:2anJA5fEQdfvxrrWiL10Vj,0.531,0.618,2,-8.908,1,0.0327,0.16,0.67,0.108,0.129,111.83,183960,4,30.56059,11
Station 4: Als hÃÂÃÂ¤tt ich das alles schon 'mal gesehen,A.R. & Machines,spotify:track:6IkQcwHwe5KqM3tphkOvCH,0.577,0.896,11,-11.33,0,0.0935,0.469,0.909,0.109,0.441,125.898,328160,4,42.6722,13
Prove It,Television,spotify:track:3aPjLBWsrqTetCn3QcLSuK,0.674,0.382,2,-13.89,1,0.0452,0.00719,0.276,0.163,0.805,117.798,300240,4,30.2194,17
Women Don't Want To Love Me,Joe Bataan,spotify:track:08UyMNBsjARNkC0nYsVez0,0.706,0.599,2,-10.014,0,0.0363,0.523,0.0138,0.102,0.645,91.558,273280,4,20.54093,14
Do You Love What You Feel,Rufus & Chaka Khan,spotify:track:7fYozX6MaNmfHoGW7bFTdK,0.801,0.794,10,-11.165,0,0.0353,0.0195,0.0579,0.639,0.901,119.944,269307,4,21.1442,12
Diodo,Blue Phantom,spotify:track:64EcnCJyUERFOokzeh3brm,0.433,0.913,5,-6.537,0,0.0354,0.0481,0.928,0.147,0.799,139.003,228702,4,48.79404,10
Let Me Roll It - Remastered 2010,Paul McCartney,spotify:track:0mRQp2HsSqX1MZuMvonAPN,0.338,0.407,4,-8.506,1,0.0371,0.0327,0.00246,0.081,0.519,172.612,289813,3,26.72952,15
Poncho & Lefty,Townes Van Zandt,spotify:track:6QXtKi4TVe1458QNodE3cs,0.636,0.277,1,-14.185,1,0.0306,0.784,0,0.234,0.685,133.363,220573,4,42.0381,9
Ancient Child,Dragonwyck,spotify:track:7uogjhKudzcwPbvIB05OBo,0.186,0.364,4,-9.851,1,0.0349,0.19,0.108,0.0738,0.157,110.538,300066,4,27.50597,14
Pretty Vacant - Remastered,Sex Pistols,spotify:track:21rz5LMBiIpQWRGQcb0xIg,0.282,0.874,2,-7.882,1,0.0552,0.0248,0,0.142,0.389,145.222,197613,4,30.03556,10
Sugar Man,RodrÃÂÃÂ­guez,spotify:track:17nOJOcPbcl4sKzM2yyYDp,0.463,0.577,5,-6.542,1,0.043,0.77,0,0.598,0.43,97.83,229413,4,34.08896,9
Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,spotify:track:184QpO8ZchGncbNyJe9SDT,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000177,0.0877,0.773,141.463,239213,4,40.40938,9
Burning Sister,Amon DÃÂÃÂ¼ÃÂÃÂ¼l II,spotify:track:0qJBC5TxsxR0qFPblGKHB5,0.374,0.54,9,-13.391,0,0.0369,0.0463,0.0973,0.18,0.484,140.08,225333,4,33.49378,14
Noelia,Nino Bravo,spotify:track:2H6pXO5yKat03sbr1ERzZv,0.193,0.524,9,-10.508,1,0.0384,0.826,0.00733,0.128,0.422,170.246,187093,4,43.75908,8
I'm The Face,The High Numbers,spotify:track:3Mcxl6esKlZTPTF4XAyBy0,0.526,0.907,10,-6.48,1,0.0504,0.226,3.01e-06,0.373,0.87,79.23,149812,4,37.71987,6
