The Rhythm of the Night,Corona,spotify:track:5IPJsGFKtxKDPCkT8lhEjN,0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,264307,4,34.26816,10
Blinded By The Light,Manfred Mann's Earth Band,spotify:track:7nfiM8DuaSJ61KaerHchcA,0.472,0.601,5,-12.751,1,0.0569,0.226,0.0101,0.0788,0.578,141.733,426560,4,25.13113,17
Cath,The Bluebells,spotify:track:38CnWhEJgWc0FvwvLArRcu,0.481,0.718,7,-11.8,1,0.0353,0.116,0,0.0657,0.701,147.549,230440,4,29.25513,9
I Wasn't Meant to Feel This / Asleep At the Wheel,Suicidal Tendencies,spotify:track:6TJK3ZhUFHlhwuysbNayWT,0.42,0.665,7,-6.819,1,0.036,0.002,0.0512,0.186,0.248,77.057,425390,4,25.94435,17
Baby Love - Mono,The Supremes,spotify:track:5zzVaxPfC7OsH4x9SxdsuV,0.548,0.837,1,-0.665,1,0.0356,0.365,0,0.11,0.641,135.316,156107,4,27.91002,9
Do You Wanna Boogie, Hunh? - Dance Mix,Two Tons Of Fun
Solid,Grant Green,spotify:track:3EAUgtBGYPNaX3vJ9IPCip,0.559,0.288,5,-17.256,0,0.0358,0.689,0,0.185,0.619,75.645,443333,4,68.59936,17
Enjoy the Silence - Single Mix,Depeche Mode,spotify:track:1YwNlWLf8auhazSQUDQLFU,0.641,0.812,0,-7.945,0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,257333,4,26.40994,13
Who Will Save Your Soul,Jewel,spotify:track:1SYXw0U7vE9BpUw5bEFvKw,0.686,0.467,7,-9.712,1,0.0419,0.704,0.00103,0.13,0.753,126.179,239293,4,73.22103,9
Tonight,Kool & The Gang,spotify:track:6gSFymipWCAuXZvEoY4O4k,0.748,0.772,5,-7.097,1,0.0302,0.318,0.000582,0.347,0.928,120.189,378933,4,35.30088,13
Swan Dive,Bullet Lavolta,spotify:track:2uZdF5tBjrT41fJqclb5Cg,0.513,0.96,0,-7.647,0,0.119,0.00242,0.172,0.142,0.0463,106.22,256293,4,48.84337,7
Jacking the Ball,The Sea and Cake,spotify:track:5KnDpd5WFl65yJ0ByauXBW,0.638,0.464,2,-15.19,1,0.0387,0.333,0.278,0.141,0.794,115.08,232733,4,51.23985,10
Apocalipsis,Vox Dei,spotify:track:38RWYxYrnsFXI6IKh5Mnag,0.366,0.593,9,-16.958,1,0.0848,0.0399,0.847,0.258,0.475,164.189,288160,4,24.37807,11
Lay It Down,Magnapop,spotify:track:1nG2q0FqmLLH82JnoYSAew,0.518,0.872,5,-9.174,1,0.05,0.017,0.626,0.069,0.705,171.712,181933,4,29.2029,10
Stuck In The Middle With You,Stealers Wheel,spotify:track:4090PyjhaukeGh0c93jh1Y,0.749,0.74,7,-4.965,1,0.0334,0.0552,0.000569,0.16,0.962,124.463,206560,4,61.81182,5
Game Of Pricks,Guided By Voices,spotify:track:5aJuA3SC8YGjsqlLJo8rrB,0.372,0.966,2,-6.984,0,0.0729,0.248,0.663,0.529,0.324,122.224,93307,4,30.2571,5
Bed Of Roses,Judy Clay,spotify:track:0MHcCMOEEN0XTfY6flFb7j,0.572,0.442,2,-9.758,0,0.0383,0.0845,0,0.436,0.837,116.834,160907,4,24.93982,7
Knot,7 Year Bitch,spotify:track:2mbkCcSVDaPuvObj9A4nKv,0.408,0.522,4,-14.429,0,0.0322,6.59e-05,0.0255,0.378,0.562,91.136,308467,4,144.82605,6
