Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
"Thank You, Pain.",The Agonist,spotify:track:60PfWKoTqlMmcngfBCMOZN,0.333,0.977,8,-2.867,1,0.142,0.000256,0.463,0.408,0.377,194.912,224547,4,53.18476,10
Music,Leela James,spotify:track:6Cl90cl4efMaG05Xm4LjDN,0.778,0.636,1,-6.539,1,0.129,0.501,4.25e-05,0.106,0.52,98.008,245426,4,44.80923,11
Sunrise in Aries,God Is An Astronaut,spotify:track:1wTUlNtKUwqI5VmspgGLBk,0.553,0.665,10,-5.965,1,0.0255,0.000469,0.851,0.199,0.303,139.959,261880,4,37.02522,16
Demon,Darkest Hour,spotify:track:3YAuVWI4fvwfzEYTY3K2e6,0.135,0.953,4,-4.387,0,0.145,2.23e-06,0.107,0.355,0.106,79.96,228920,4,37.70423,10
The Promise,Marc Evans,spotify:track:4Y53ERBZWSAM6URjNfa3fw,0.807,0.457,8,-8.508,0,0.0651,0.3,0.000547,0.132,0.846,90.003,275120,4,32.9265,13
You're Always On My Mind,SWV,spotify:track:0RwS2iWvfzAwsK8y1x5qar,0.619,0.661,1,-8.375,0,0.0351,0.00585,0,0.181,0.426,137.503,317667,4,58.22355,12
Now Or Never,Orianthi,spotify:track:0ikN3ISH5dYuoSlMtZCG52,0.441,0.936,2,-4.408,1,0.156,0.0236,0.000322,0.162,0.499,183.97,242773,4,32.15438,13
Skylines and Turnstiles,My Chemical Romance,spotify:track:3VqJUdav5hRAEAvppYIVnT,0.351,0.944,0,-6.51,1,0.148,0.000811,0,0.495,0.462,122.58,203147,4,52.57748,7
Soak,Rachel Farris,spotify:track:1Lm0tGXvfDELHTTLyBKyNq
The Return of the Son of Nothing,Tiamat,spotify:track:6qqWdgkAsIc5wlNslrwFTy,0.462,0.544,4,-8.031,0,0.0303,0.00212,0.0154,0.104,0.0451,105.009,298667,4,39.27859,12
Global warming,Gojira,spotify:track:5HG05ThGEDG0v5FfKqGPuI,0.173,0.942,6,-2.539,0,0.0565,2e-05,0.00222,0.0568,0.202,94.489,470747,4,155.18255,8
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,spotify:track:4JvacMyrylsX8C281ZQ3m9,0.761,0.886,0,-6.291,1,0.0483,0.00342,0,0.0681,0.74,105.575,274200,4,19.65328,13
Synthetic,Spineshank,spotify:track:7eAnF0Yr5MsC3Y2JOxBaY5,0.48,0.925,6,-4.449,1,0.0538,1.8e-05,8.96e-06,0.14,0.46,150.014,190267,4,26.05194,12
January,Bonnie McKee,spotify:track:4Vc6f3K8mXoMwZDICJPPAw,0.695,0.853,4,-4.081,0,0.0438,0.0377,7.22e-05,0.199,0.78,95.924,247213,4,22.66564,11
Wormwood,Callisto,spotify:track:6vpIVeyOHnKsedlxfd5a47,0.484,0.575,7,-3.597,1,0.0289,0.000218,0.834,0.139,0.131,91.976,434053,4,73.46945,14
You! Me! Dancing!,Los Campesinos!,spotify:track:5xNFbAiYGZsesA6pQmfjZa,0.415,0.945,2,-3.913,1,0.0856,0.0304,0.000669,0.103,0.333,165.119,405920,4,33.93707,18
In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4,47.8144,7
Internal demons,Deals Death,spotify:track:3jeZJHJH30WQGmVFxVVEkz,0.346,0.911,2,-6.216,1,0.0688,3.7e-05,0.0578,0.101,0.391,184.839,246735,4,43.83517,9
My Demise,Shadows Fall,spotify:track:41me2CJRzBnse4dCrdRAh3,0.298,0.992,8,-4.669,1,0.118,7.42e-05,0.00587,0.319,0.178,140.073,419227,4,61.38615,12
He Doesn't Know Why,Fleet Foxes,spotify:track:4FlNj8oEuikVspfVWzMZVz,0.507,0.556,1,-5.53,1,0.0297,0.256,4.56e-05,0.339,0.464,93.951,200493,4,52.44273,8
I'll Be Down For You,Paula DeAnda,spotify:track:3R0tRQxRIZQtA9hE9a6wKc,0.706,0.626,10,-5.005,0,0.0515,0.435,0.00234,0.252,0.786,90.99,252400,4,40.43728,12
Ignorance,Paramore,spotify:track:5ZdrNnYV5VZWds4WXKf8kf,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,218627,4,23.30967,11
Suffocated,Ghost Brigade,spotify:track:4A8IBRI0mAZIMfe4ivr17R,0.266,0.947,2,-6.048,1,0.066,0.000637,0.000864,0.11,0.0691,124.393,328413,4,54.62938,8
Ghosting,Mother Mother,spotify:track:6405hOm4Nxfxzm2wxXw2BU,0.606,0.618,11,-5.1,1,0.0258,0.325,0.0019,0.108,0.237,92.061,285987,4,22.71874,13
Calling All Skeletons,Alkaline Trio,spotify:track:2xflZxzZglFUsaV7h6w4nL,0.574,0.939,7,-3.36,1,0.0756,0.00305,0,0.33,0.55,130.035,198763,4,44.93345,6
Stupid Little Love Song,Fefe Dobson,spotify:track:22lMSHEXQ5zFNDWYkUm2ET,0.487,0.921,2,-4.911,1,0.0524,0.000447,0.00103,0.163,0.833,150.14,199667,4,27.56124,10
Must Have Done Something Right,Relient K,spotify:track:4M6pI3JTQ7Fcavu4MytcL6,0.568,0.955,1,-3.0,1,0.0401,0.0194,0,0.195,0.793,137.937,199867,4,40.37143,9
The Lay Of Autumn,Insomnium,spotify:track:0DVLG3hfioPqmOKu5suYsm,0.375,0.952,9,-4.746,0,0.0489,4.56e-06,0.921,0.0369,0.285,92.524,548467,3,41.79373,10
Carry,ISIS,spotify:track:7fgrebvuX50sYEfBnHPpVf,0.272,0.711,11,-4.841,0,0.0429,0.0139,0.208,0.108,0.126,121.63,405248,4,32.50514,19
Fader,The Temper Trap,spotify:track:0vNPJrUrBnMFdCs8b2MTNG,0.532,0.76,11,-7.123,0,0.0353,0.000101,0.69,0.0752,0.158,134.974,192373,4,36.20166,7
If It Means a Lot to You,A Day To Remember,spotify:track:6J7cSyvSCnPwv3vqHchEfL,0.584,0.536,10,-8.158,1,0.0279,0.112,0,0.456,0.44,126.996,243227,4,30.59335,9
Jasey Rae,All Time Low,spotify:track:4kulylefFdMugHJokWU9lc,0.486,0.901,2,-6.943,1,0.0391,4.77e-05,0,0.0828,0.348,96.03,218293,4,75.15045,8
IÃÂÃÂÃÂÃÂ´m Here,Aly & AJ,spotify:track:5T3YHI4SlE2KgrsytyCAhN,0.584,0.704,9,-6.419,0,0.0453,0.135,2.02e-06,0.106,0.304,135.024,245493,4,30.1281,13
Sold Short,Napalm Death,spotify:track:5xaZzuXQcgAmhfU0aUUFOI,0.192,0.996,0,-3.81,0,0.225,1.87e-05,0.497,0.0696,0.0382,112.457,167800,1,17.29848,9
Bring Me To Life,Evanescence,spotify:track:646J2jOtUe4Jflrmh6JFjN,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892,235893,4,31.12529,12
Walking,The Dodos,spotify:track:6hfDc3yRU9fL3GX3d82Z0d,0.29,0.732,9,-7.885,1,0.0282,0.449,0.00253,0.263,0.471,158.678,129213,4,38.61626,6
Fathom,Russian Circles,spotify:track:3Xd37rHgauIDEXutlaAVXL,0.207,0.891,2,-6.914,1,0.081,0.00289,0.383,0.055,0.036,111.451,295360,4,18.57941,13
Sensitive Subject Matter,Bonnie McKee,spotify:track:2KbyUAh59HHFd4SRAa5VG3,0.414,0.581,0,-5.023,1,0.0273,0.346,0,0.108,0.363,158.801,245613,4,38.21895,11
Jealousy,Club Nouveau,spotify:track:54S0G4LyqYBFf2wQkOFclK,0.832,0.601,5,-9.485,0,0.0404,0.0231,6.61e-06,0.287,0.701,110.176,282640,4,16.23687,14
The Logical Song,Scooter,spotify:track:7cR6SJQLubZTtIrAgteiec,0.523,0.888,6,-8.715,0,0.0359,0.00112,0.0692,0.46,0.534,144.021,234933,4,26.80976,15
Beast and the Harlot,Avenged Sevenfold,spotify:track:6FVYwnVrnAEIRnY3bHJb46,0.37,0.981,5,-3.296,1,0.0633,6.28e-05,0.00225,0.331,0.413,155.177,343600,4,44.47806,14
ÃÂÃÂÃÂÃÂrbita,Toundra,spotify:track:40dwvfbMzvVrbDjle7kiyl,0.324,0.677,2,-7.372,0,0.0409,0.00967,0.838,0.169,0.0978,137.857,448907,4,29.94965,14
Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,spotify:track:3JOdLCIBzQYwHIvpN3isVf,0.628,0.886,2,-3.805,1,0.0608,0.000706,0,0.275,0.72,135.45,191373,4,68.64855,6
Enter The Glade,Falconer,spotify:track:1vlpzSb5xsvg1LULyketBU,0.403,0.787,7,-3.687,0,0.046,0.000345,0,0.256,0.501,95.08,228533,4,31.22483,10
Terra Incognita,If These Trees Could Talk,spotify:track:5IQn1ELmxnBOugozpavpJg,0.205,0.279,2,-25.234,1,0.0442,0.984,0.71,0.11,0.112,139.089,57080,3,21.63458,4
Buried Alive,MotÃÂÃÂÃÂÃÂ¶rhead,spotify:track:2t6LULrW9lilhk2ivj1AJq,0.493,0.983,10,-5.864,0,0.12,0.00115,0.1,0.365,0.07,121.008,192747,4,28.45142,9
No Diggity,Blackstreet,spotify:track:5eyIfIp6IafrdAjRnZF6ql,0.865,0.65,1,-4.617,0,0.207,0.324,0,0.133,0.715,88.663,305707,4,46.97866,15
Sometimes (Remix),J Dilla,spotify:track:0ncC7da4OXfIAmepjPX0g0,0.917,0.424,2,-6.227,1,0.301,0.0861,0,0.154,0.385,96.642,251840,4,52.81475,9
HeysÃÂÃÂÃÂÃÂ¡tan,Sigur RÃÂÃÂÃÂÃÂ³s,spotify:track:3J3kP9sFjyETLkIYBWuOJW,0.225,0.0532,4,-16.755,0,0.0407,0.84,0.598,0.0787,0.137,104.56,249947,4,112.00022,11
Sorry,Buckcherry,spotify:track:7qpDqr5TxcTlOHG0k7moGt,0.545,0.762,2,-3.634,1,0.0301,0.0334,0,0.209,0.36,130.926,226147,4,28.12036,10
