Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
When The Sun Hits,Slowdive,spotify:track:7wE4l1GNxjE2kOmlsx0PcA
I Could Never Take The Place Of Your Man,Jordan Knight,spotify:track:0Fj6EbLnYKl9wzDr68l8ov
High Speed Changer,Orange 9mm,spotify:track:2G04oa0siKhI9Q9O1QOMbA
I'm Not Your Mother,Blake Babies,spotify:track:2y7VNGmyQBr4LzC24hH1Ib
Under the Bridge,Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Always True To You In My Fashion,Della Reese,spotify:track:01FEnY83S8xHwNoqIZ2shw
Forkboy,Lard,spotify:track:25rmulFJwUrYY2C5SGuTTS
I Want To Be In The Land Of Milk And Honey,Vicki Anderson,spotify:track:4MRrCCjo6U3oBBunSlcyjB
Break Stuff,Limp Bizkit,spotify:track:5cZqsjVs6MevCnAkasbEOX
Sorry,Foxy Brown,spotify:track:2FXuQZv6beVEIRhWhawgMl
Dirt,Death In Vegas,spotify:track:4LOBq70NlI97iJ5wKwJW1D
Will You Wait For Me,Kavana,spotify:track:30nZNwhTYrk5ZzqtVHRa92
Temple of Love - Extended Version 1983,Sisters of Mercy,spotify:track:0cddvowG9DCT9VeZxRlPJm
Some Kinda Nut,The Moon Men,spotify:track:2heuvwkLhowEmxW3u7ZLY3
Incomplete,Sisqo,spotify:track:55e8RGj2P77QNJt3vaa0d8
Sick of Myself,Matthew Sweet,spotify:track:4inXYz8i3xRpNbxZJ99Clo
Digging Your Scene,The Blow Monkeys,spotify:track:00Mk0LnP5u2W5yJmJpG4va
Backlash Blues,Nina Simone,spotify:track:40Sq1gSrgCjjuMs43XuQgw
"Heartbeat - 7"" Remix",The Psychedelic Furs,spotify:track:6RLe9M5HdU3onULogk4jrT
Jerry Was A Race Car Driver,Primus,spotify:track:19C0LKY3DCcQtuviPJNy5d
That'll Be The Day,Buddy Holly,spotify:track:49dOnz1NuDgUNba91MudGy
Aeroplane - Dance Mix,The Psychedelic Furs,spotify:track:2BuRG2KyF35L3GghCkF6Hh
Black Hole Sun,Soundgarden,spotify:track:67ZyR9O1xkr9p91Vmews3V
"Play To Win - Bef Disco Mix 12"" Extended Version",Heaven 17,spotify:track:2c1j6CEBnao9e4dhlYYXvR
Insane in the Brain,Cypress Hill,spotify:track:1oTHteQbmJw15rPxPVXUTv
Naked Girl Falling Down The Stairs,The Cramps,spotify:track:1MMs39tGwWS3p5tY5C5SAE
Crazy Blues,The Big Bopper,spotify:track:55i69tpRAUlMXNXIAjZNJN
Break Stuff,Limp Bizkit,spotify:track:4WJNMSihHL8e4hs9SkBq9C
Wham!,Lonnie Mack,spotify:track:5bl3qKqYDjmxC7N6EDEILU
Oceans in the Hall,The Ladybug Transistor,spotify:track:45iDhWMFE8WPnakyAdquGg
Try A Little Tenderness,Otis Redding,spotify:track:50W9PJjr1Euo9FFoqw90eL
Funk #49,James Gang,spotify:track:0WLbM2AOlMGcQsgpW7C9a0
Bring It on Home to Me,The Animals,spotify:track:0Yjb370GsrO24rJrJqG7jL
I've Got Your Number,Nancy Wilson,spotify:track:4INB2v0Jh09BEnRL0vmeII
Lions (Linden),Pavement,spotify:track:6CkXY8qdkMugm483T5t96c
Downtown,Petula Clark,spotify:track:0X04tUv7mLsFM11MTaVeQ3
The War Song - Ultimate Dance Mix,Culture Club,spotify:track:64UNKNooeTcOGwy2zTAdcy
Madman's Honey - The A List Version,Wire,spotify:track:7Cd74dHW4x6Tv1f2dZgQon
