Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Outshined,Soundgarden,spotify:track:3t365tTYiwszqaXZb2LajN
Falling in Love,Sybil,spotify:track:4Sgy0McH4foMfZiEBWQ3C4
OlmalÃÂÃÂ± mÃÂÃÂ± OlmamalÃÂÃÂ± mÃÂÃÂ±,BÃÂÃÂ¼lent OrtaÃÂÃÂ§gil,spotify:track:0pnC8KYOumEqzYDALFQNAL
Terrorist,Heavens To Betsy,spotify:track:6ume7EqgVQPbZU99owNLVI
Leader Of The Pack,The Shangri-Las,spotify:track:6O5PIO5pAWxdoxvaUFQ02G
Needle In A Haystack,The Velvelettes,spotify:track:26fSgIa539TCK3KV76chHU
Jimmy Mack,Martha Reeves & The Vandellas,spotify:track:57AbtgUlds8zCEAuedOxxG
Alone,Downface,spotify:track:26C4dNjoAxFk6PhZGeuyGO
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",John Travolta,spotify:track:1pj3RzpA5AoXkZln0NockI
Billys Fiver,Bazooka Joe,spotify:track:78gRX8k164DZd0Tnc9mXE5
Heart and Soul,The Cleftones,spotify:track:5XoYj1BbiLSzBjhPoMv09C
Right on Target,Paul Parker,spotify:track:6uadGVxOhoi81YNppLBaIu
Peepin' - Live,Lou Donaldson,spotify:track:2DbDHHOh1C8wZRUDQhS9s0
Porque Te Marchas Abuelo,Manolo Galvan,spotify:track:09zcSyJxvU5uZPDS46TTL5
Dancing on the Fire,INDIA,spotify:track:7DMC8jE0nEVQXtDlVrI57I
I Can Love You Like That,All-4-One,spotify:track:70d8omRI2p7qesFOiy55Ro
Jam Up And Jelly Tight,Tommy Roe,spotify:track:4zlZWu3HVsDfq4D10Zl7Nq
Stone Believer - Single Version,Iron Butterfly,spotify:track:0E7zR87ReZ1bSp4Uo4qICM
Dress,PJ Harvey,spotify:track:2VuQyUR0ZbSsefYESWN6L1
Rockin' Robin-Bobby Day,Various Artists,spotify:track:1uhRE4sY2O3QO8OV8DM1vj
Fast As a Shark,Accept,spotify:track:79FdyI4F44GFPI6HGFfCfA
Backslider,Toadies,spotify:track:5b7XGW6Ss95mofffZdzXuy
Stray,Lush,spotify:track:5bwJQCgLvc9XmkmyYDOnnS
Cough Syrup,Butthole Surfers,spotify:track:46ou6i1u3b8Uu1KUzwKkAO
All Night Long (feat. P. Diddy),Faith Evans,spotify:track:1C7ebyOVDboehxsJmk5w4e
D,Codeine,spotify:track:07lF2ZmaFmltCLEXUS8ONx
Jimmy Olsen's Blues,Spin Doctors,spotify:track:7qvQ7DE4y66arCPiPMDCOL
Earth Can Be Just Like Heaven - Dance Mix,Two Tons Of Fun,spotify:track:2MUtzbrYrAf7knUFjpQnNn
Superman,Goldfinger,spotify:track:4X3qGigyU6ARi3HP4lWD95
The Freshmen,The Verve Pipe,spotify:track:3rfDfPjgHDQ1BUaSHr9xoI
Aisha,Billy Gault,spotify:track:2fhp4JfM0c0HO2DUDJb9xS
Break It Up - 12-Inch Mix Version,Mary Jane Girls,spotify:track:7FfbXL7nUTLFNWsxJcK3jq
Love Is The Answer,Utopia,spotify:track:3v1abU7pXIkCGfJTld7TVM
Aren't You Glad,Spirit,spotify:track:0sZYH9uPcAQajnZVPjbqns
Nights (Feel Like Gettin' Down),Billy Ocean,spotify:track:3NVAz1T85k1lNv8OasFj37
Cold And Ugly - Live,TOOL,spotify:track:7ajn3mKu2DP8CoqzpHEr1d
Happy to See,Small Factory,spotify:track:2MO3B6j9gOBQeuYiR3aYVk
Ode To My Family,The Cranberries,spotify:track:1eQuRtkMEPhf2DGzpBVTE6
Act Like You Know,Fat Larry's Band,spotify:track:2x4InTXmXMhP9phSuYrWWc
Waiting,The Rentals,spotify:track:1fQJPRtrD1abNeOcZVRNO2
Makin' Like a Rug,Eleventh Dream Day,spotify:track:5jjlFrJlvHQywTB0GjybuX
Crucify,Tori Amos,spotify:track:0W4BtjtJcS4G1WWgKo1XUD
Heart-Shaped Box,Nirvana,spotify:track:4OaV9UYQ3EfrBRPjoO6u7c
My Name Is Mud,Primus,spotify:track:5c6gkexa2eWCCBmEb0zXCZ
My Pal the Tortoise,Thinking Fellers Union Local 282,spotify:track:1anrtrcrzrfSa9zJmppIKo
Firecracker,Unwed Sailor,spotify:track:2ON1R3Cdgfl1HhqDAD4APB
Mad About You,Belinda Carlisle,spotify:track:6v9oV4RpWKJ5qbpAZqKqtZ
U-Mass,Pixies,spotify:track:17Qj1HcrBR00pmTvrs7vDW
Make It Like It Was,Regina Belle,spotify:track:6PrRkwsUYxmCFnosNbthVN
Everyday People,Sly & The Family Stone,spotify:track:7lL2lMWNtzOcf5HnEudNgn
"Take Me Home, Country Roads - Rerecorded",John Denver,spotify:track:2xYlyywNgefLCRDG8hlxZq
Vainly Clutching at Phantom Limbs,Elf Power,spotify:track:6ejZl9mh99YhJv2GkTuPjU
Ca plane pour moi,Plastic Bertrand,spotify:track:71yCMlsD6qbD7NmNUEoVNR
Please Mr. Sun,Tommy Edwards,spotify:track:1bSch5KLMC8gdAXXjQ608P
Summertime Blues,Blue Cheer,spotify:track:6iWaf45YIhj0YT8GFGxsw0
"Loving, Sacred Loving",The End,spotify:track:0Xf8LOeolxesOQzHsHuMVN
Love Is All Around,The Troggs,spotify:track:49vxYkjigMKV3wR7rUlmDZ
Designer Music,Lipps Inc.,spotify:track:5aVvVMwfFwu5JSoMFZojDE
Fields of Coral,Vangelis,spotify:track:27iy87clL6mJQh9ybqLNK8
99 Ways To Die,Megadeth,spotify:track:75t7W9LYbkgbkeT6B5EoHM
No Perfect Stranger,Eyeless In Gaza,spotify:track:2nlhVUv23r7UcymHY8rYkX
Woman (Sensuous Woman) - Re-Recorded In Stereo,Don Gibson,spotify:track:5DfRn56ben0pUfDQnkDzyb
Wounded - 2008 Version,Third Eye Blind,spotify:track:29edGmNPbEZXFAxa4bu2ze
Ocean,Sebadoh,spotify:track:4qfnbxBXW6vi2K5xidtcee
I've Been Hurt,Bill Deal,spotify:track:5hSSGFK7sMyimfCFyU4Sm3
Make Someone Happy,Jimmy Durante,spotify:track:1tiiE56SgAXuPqBk20hQw4
National Express,The Divine Comedy,spotify:track:7wsgeXJQTOTyZCn8F0SqFK
Secret Agent Man,Johnny Rivers,spotify:track:6DosMsjJw8ue2JNh45VJBx
The Scorpion - Live,Lou Donaldson,spotify:track:1mQ0ZxiBGjecx3RXIhrTcG
PatÃÂ¢ÃÂÃÂs Trick,Helium,spotify:track:54w5UPmlp7pgQfQUpdk9mD
Airhead - Francois Kevorkian Mix,Thomas Dolby,spotify:track:1soohgnngndP1T1nM4onLO
I Need You,3T,spotify:track:23QoOLhWKM7AdVgEWLGkKl
Bill Is Dead,The Fall,spotify:track:3kMTqc2WNl8ufebsOU2RCb
Loaded,Primal Scream,spotify:track:7dSBZzVmyBaLDxT2v3EJHB
Shit Towne,Live,spotify:track:5Tkrz3KSoAOGN4Y97TUqZU
Tahitian Moon,Porno for Pyros,spotify:track:3DwzYRgOgojl0EcdOaJLYr
Wild Thing,The Troggs,spotify:track:4O3DSZqeLLEpRrqRIClGD1
Never Let You Go - 2008 Version,Third Eye Blind,spotify:track:1sxUaLi0G2vB7dl4ogtCxH
The End of the World,Skeeter Davis,spotify:track:5DTOOkooKFUvWj1XQTFa09
Dee Tour,Karen Young,spotify:track:20OV3COMIypdLOqywOidu5
Something's Got A Hold On Me - Single Version,Etta James,spotify:track:5R5GQZg3Bc3adCnxKLKXxt
One Track Mind,Johnny Thunders & The Heartbreakers,spotify:track:1bpMqhCC0xRfhFwCRzzCFV
Goin' Back,Dusty Springfield,spotify:track:0knHpoQ57W5gZhtOKnD6Tw
Cream,Prince,spotify:track:5vz2J2kP3vV7mZE9UxnFcG
Trains Across The Sea,Silver Jews,spotify:track:53vYBUebsatEzuRgJ37i8c
Release The Bats,The Birthday Party,spotify:track:1KvHUUhxMMgIllDqkOig92
Freak On a Leash,Korn,spotify:track:7B9S4RiRczdw1B9ddjpFe8
Going To Hell,The Brian Jonestown Massacre,spotify:track:28THPAxBITHE2JY4CVC9cG
Kinky Love,Pale Saints,spotify:track:3Uz3K1Ctq6MOIDqRddKHXo
Casual Affair,Tonic,spotify:track:7Cp8TdTtt8fV9qeefeLsI1
Break It To Me Gently,Brenda Lee,spotify:track:5sLqvAHkzxF6WKmLg7ML5U
Davidian,Machine Head,spotify:track:3qHlBxD3acw5nrl7Padt0v
Singing in the Shower - Remix by William Orbit,Les Rita Mitsouko,spotify:track:7HWi6ocOw3UFe84M0dGQBt
All I See Is You,Dusty Springfield,spotify:track:22JYKBYW5hRA43McmMxbJd
Great Provider,Barenaked Ladies,spotify:track:4gVzNM55BTYqMgE2Q2WHa2
Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB
Feel My Love Tonight,Stacy Lattisaw,spotify:track:1Z0yAmV2YUHjoWQ3JmlMWi
"I, Fuzzbot",Brainiac,spotify:track:0LKLWnQ3aNnOah45s4UDPI
Success,Cd III,spotify:track:4PyBUe6DJrQ8Cj4YNeVLxN
Skinned,Blind Melon,spotify:track:1LnNC5LlJfLWISdy8tnZw3
Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,spotify:track:6vL5Kx5LmZzcL12DZl2OiY
Shake That Thing,Hasil Adkins,spotify:track:229OgAtBMRDNgkkHl8I4fU
Positive Bleeding,Urge Overkill,spotify:track:2yIwWIbWcAmOE4mHEfENp3
Smoke Two Joints,Sublime,spotify:track:1nkjPVDPQ3zvlWKrpXbNs8
Lovin' You,Minnie Riperton,spotify:track:4twhYPDyCP6ICeW3TtQVxP
Don't Tread On Me,Metallica,spotify:track:0PDThNPaf3ganx4PFmGznK
Ship to Shore,Dub Narcotic Sound System,spotify:track:6qP84clfLt9DgMhOXHRQkf
Release,Pearl Jam,spotify:track:3xAka0D8585mDoShALnsd7
Dogs Of Lust,The The,spotify:track:4iiZguRzsPF0y4kfoMbBlD
You Speak My Language,Morphine,spotify:track:3BDhuwBk8aFlXMfaqjFuyM
Love Your Money,Daisy Chainsaw,spotify:track:3e4MP8emBmPpDoiwsQrKAd
Reverend Black Grape,Black Grape,spotify:track:2ZODjHVq1JxCBqWFeBPmAo
Distance Equals Rate Times Time,Pixies,spotify:track:6NLXWsJoQShW2OSxAMaSPU
Season of the Witch,Vanilla Fudge,spotify:track:0VJXE7w1oCeBqkxaYm1gdO
ÃÂÃÂlÃÂÃÂ¼m Allah'ÃÂÃÂ±n Emri,BarÃÂÃÂ±ÃÂÃÂ ManÃÂÃÂ§o,spotify:track:7yCEiIRLG2Uz0iF12vEZbP
Wildflowers,Tom Petty,spotify:track:2Pr1nZpt8A8WP7QYpyq6L3
Imposters of Life's Magazine,The Idle Race,spotify:track:5pdeZYqVRS0ptLxRYnfYh4
Gruppen fÃÂÃÂ¼r drei Orchester - Werk Nr. 6,Karlheinz Stockhausen,spotify:track:1We0Q4IsPGC0zcYVsqXbrm
It's You I Love,The Crume Brothers,spotify:track:6fCzux9a0QnQgJtWjaNh3S
Feasting on the Blood of the Insane,Six Feet Under,spotify:track:53I5E1K1L0juUgg3LXZp7T
Round Here,Counting Crows,spotify:track:35qwJUKVy1OIt0wQ3xEXi0
Bullet Proof Cupid,Girls Against Boys,spotify:track:6sGl7RxpLz4xkm1Qim4QhU
Invitation to Cry - Mono,The Magicians,spotify:track:6HdDj3RS4qS3vks3ctGLPz
Love Is The Law,The Seahorses,spotify:track:5hxttI33fq6Pj5jWabbEOz
(Is Anybody Going To) San Antone,Doug Sahm,spotify:track:6y6KPXg6Q3jbWycKzOxZb6
Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s
Speak Low,Grant Green,spotify:track:4jxfZWelS1CJf6tNADO4xa
Too Shy - Midnight Mix,Kajagoogoo,spotify:track:42sn2qmj7cFtkHUYM3RdV1
Working In The Coal Mine,DEVO,spotify:track:6G8VOvU4pQcqOsvDQxZH2Z
I'm Waiting For The Man,The Velvet Underground,spotify:track:4vGurCluxDF08FPfJgAVqT
Open Road Song,Eve 6,spotify:track:7kAKO1EYHt2MVlombUuoLN
Significas Todo Para Mi,Alberto Vazquez,spotify:track:5H4ro3Egc2eoQWgiPyJpul
Hip Funk,Grant Green,spotify:track:5hQAipChyZmNEyp8p670zR
Chocolate City - Remix Scratch Version,Trance,spotify:track:7KwG3FfYMNNzGDBKYYahec
Wonderwall,Oasis,spotify:track:7JrUo70YjhU4S7flcJtK0k
Glycerine,Bush,spotify:track:0l9l90a1zB3wUObtwWbqHy
Swim,Fishbone,spotify:track:0a0RGJi8QGfJcnRZRBtODl
A Little Distance,Tristeza,spotify:track:26gxrkeqWCDh4JJCAhEw7x
Nice & Slow,Usher,spotify:track:2KVVKbrg81ipix7moSsfzI
Sweetest Thing - The Single Mix,U2,spotify:track:3jYaQBRTusFJHxYfaqEVDO
Strong Reaction,Pegboy,spotify:track:69IlI2ALm6uPBXzHzHRMaa
A Salty Salute,Guided By Voices,spotify:track:18lUaFqM9TcaDELUmxsJIY
Summer Of '69,Bryan Adams,spotify:track:6oWpGuwokWJ4EcWgVQPdUt
Can I Join Your Band,The Creation,spotify:track:7Ml6tHEPHnlkl7Uv8fNr3M
Nakweda Dream,Zru Vogue,spotify:track:1AOiCeo3N1oS296rU07khh
Tom's Diner,Suzanne Vega,spotify:track:7f9sC9fvtjYSZYOLSmKJlq
Bella,Mijares,spotify:track:6NEZnVWFbIRfLLibyIxNNW
What I Got,Sublime,spotify:track:3B4q6KbHbGV51HO3GznBFF
I Want You,Spiritualized,spotify:track:30V8jILgWHdSPwajNUSGZb
Visions of My Own,The Freeborne,spotify:track:790yFEN5WqAFO1u5VEOPU1
I Don't Want to Wait,Paula Cole,spotify:track:5MDQNJ7SZTytJwCbWKqJDL
Striving For The Lazy Perfection,The Orchids,spotify:track:7dfvF9iZpnepiP5hPBXPXb
"In Private - 12"" Version",Dusty Springfield,spotify:track:0hxJDpEZzyasDeZGMbbhde
Trailer Trash,Modest Mouse,spotify:track:0WkhmPY4bLSi1Lvtw72jiO
Daddy,Della Reese,spotify:track:6DGRjGybKegmf2wjpDqK63
"Attack Me With You Love - Original 12"" Club Mix",Cameo,spotify:track:1DtpSq0M6eqIwXtVkunZCJ
Hello,Lee Michaels,spotify:track:7CxeOFINeVgbAxfZn71PWd
Loss Leader,Codeine,spotify:track:02t4JM2p402XQdKhBniVCU
Sister,The Nixons,spotify:track:1EIXwdOOkXANCJAMInXMez
"John Brown's Body - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:2rIWxifoHhuwMPQKb9Mg0x
Shy Town,Lois,spotify:track:7jYi1emPcdidJ68ZxOFBE8
Put the Clock Back on the Wall,E-Types,spotify:track:0fHfJknjZFfSNibwRWfLye
Caress Me Down,Sublime,spotify:track:0wWjWihr46S1gOB6KC2he3
Dreaming,Cherubs,spotify:track:5Fj50bqqzuSGPNX9ClruXO
King For A Day,Bazooka Joe,spotify:track:5VqPUyoPRVuVuMEhUe1b5q
Save Yourself,Stabbing Westward,spotify:track:561spezvXFVnAOYoSv4Bxy
One Week,Barenaked Ladies,spotify:track:1C0pmryC2MdXfa7MZ9uIrU
Private Party,Wally Jump Jr.,spotify:track:6m6zoNl6oKtexdZIReqQGB
My Girl Josephine,Flamin' Groovies,spotify:track:4tcFHTaheoWs3lOHA3BMtT
Through The Never,Metallica,spotify:track:1pHHcGYTlIc47MQv031XF9
Bing Bong,The Silhouettes,spotify:track:1F7ncepdeBif6avy3wTTHS
Magic Carpet Ride,Steppenwolf,spotify:track:6qnhXRedMi71TBYRc9jm4o
Native Son,The Judybats,spotify:track:1jbdYYTUWUwDt6Yriizmv5
I Put a Spell on You,Screamin' Jay Hawkins,spotify:track:1YwoYPfhuZlLDbJUH1cKSi
In Circles,Sunny Day Real Estate,spotify:track:3XTXwcIu8tC9kwRFIfCIjT
New Room,Chavez,spotify:track:0n69n24WXJQfwzd43R3tfg
American Life,Primus,spotify:track:09WwqFDqX2zv8rlvf4xYAk
1916,MotÃÂÃÂ¶rhead,spotify:track:5gp9UXTiUKw0EbKdmdln9O
Nina No Te Pintes Tanto,Danny Daniel,spotify:track:7cP8so1RhzgJ9wiDlx0fFg
Swallow,Hammerhead,spotify:track:14boYRbhNDXsp9SBdXX9RN
The Emptiest Arms In The World,Merle Haggard & The Strangers,spotify:track:1xct386v2siUTYwIoR8DAn
Possum Kingdom,Toadies,spotify:track:56SkdBKyR2zOkjk6wVFI9s
1979,The Smashing Pumpkins,spotify:track:5KRRcT67VNIZUygEbMoIC1
One Fine Day,The Chiffons,spotify:track:6XysrR8vcCDIXVRfqylrbc
Watch The Girl Destroy Me,Possum Dixon,spotify:track:0ZWz15wMj52QxaKE4UjPWo
Happy Together,Mel TormÃÂÃÂ©,spotify:track:3o7oav9eFwNYla7rrAjcyn
All of Me,Billie Holiday,spotify:track:79fXdfpOPGaXO1gfdq2onl
Only the Beginning,Seventh Wave,spotify:track:4h5aHhSu17eQCVRwLw7X7i
Don't Mess With Bill - Single Version,The Marvelettes,spotify:track:6UoklSOHrajLQkD98nP7re
Locuras Tengo de Ti,Silvana Di Lorenzo,spotify:track:4R27DohCw4cwoM0Ts67YgD
The Damned Don't Cry,Visage,spotify:track:7j33xvV0fOh1sV91AsCUbE
Liza... Liza,Elias Rahbani and His Orchestra,spotify:track:36l7Mf0aD0wrQ1q6GLiMq7
What's Up?,4 Non Blondes,spotify:track:0jWgAnTrNZmOGmqgvHhZEm
Zombie,The Cranberries,spotify:track:6xy6jNeNTYwjnKTDzMyHw2
I Stay Away,Alice In Chains,spotify:track:4vsGPsXtpcDNM4oPjzEXlq
Communist Daughter,Neutral Milk Hotel,spotify:track:72iYfBDEF6dNVeekA8ppyB
C'est La Vie,Robbie Nevil,spotify:track:6Ce9ItNCpk2PkAMq5v6EEV
Voodoo Child (Slight Return),Jimi Hendrix,spotify:track:6d3I7THB2bONUkxOo1DvmZ
Everything Zen,Bush,spotify:track:4CC83eLJxiqe72rBwyaLOf
When The Curtain Calls for You,Jonathan Fire Eater,spotify:track:5SCqk0CkKmYuJOV4UQ6c5Q
Spoonman,Soundgarden,spotify:track:3czHCIPtkuw2TFk1SOOQkC
Town Called Malice,The Jam,spotify:track:6JyricctgDY0zBaWnsivSo
"I'm Alright - Theme from ""Caddyshack""",Kenny Loggins,spotify:track:7vJnM5FUcOV3xAKJHSSUWj
Between The Eyes,Love Battery,spotify:track:6GK6AH9hwGbdDNOoX8SoQW
When Susannah Cries,Espen Lind,spotify:track:3ZPhnsk7LPDPVbhyUP7VoT
Bob,NOFX,spotify:track:5XhMeCYrRhQjL4sUoOmUCE
Dos Gardenias,Buena Vista Social Club,spotify:track:6qA5RtYnpZ1i6YzYe4BriJ
CorazÃÂÃÂ³n Gitano,Nicola Di Bari,spotify:track:2Romw11EoDzDpg9lvRejU1
Somebody to Shove,Soul Asylum,spotify:track:41TVMXb9THdtTlo2KojUDe
Red House,Shudder To Think,spotify:track:2I4LOQquNM0Fbj73SiFuWF
Amphetamine,Everclear,spotify:track:57a2a5vsEqnZsjcwMuo6Vo
Straight Up - Ultimate Mix,Paula Abdul,spotify:track:4I1OQKiDzyh3Y1dOq45gQi
Mockingbirds,Grant Lee Buffalo,spotify:track:73UlpUGNpK7qXbHf5OgTKA
Neighbor,Ugly Kid Joe,spotify:track:0hMLuSdygIZcUJuHsn0KTZ
Udvari bolond kenyere,Omega,spotify:track:1GfTXB4kBzRCLFhf39rqPs
Come As You Are,Nirvana,spotify:track:4yzgjSHWy5E8fKflgwaKQh
License To Confuse,Sebadoh,spotify:track:6J87gJpCg5xdVIM1Fs8uBK
Moya,Godspeed You! Black Emperor,spotify:track:2g2dBiugZROCtl8ipW9NQo
Losing a Whole Year,Third Eye Blind,spotify:track:5lgOUdoMBB3eZuSmc5HL4r
Rhine & Courtesan,Rachel Grimes,spotify:track:5SCxuR2smiL27d7onaqJ0t
That's The Way Boys Are,Lesley Gore,spotify:track:4A7hYEn9cGpGvZ0nWE0NVx
I Love The Nightlife (Disco 'Round),Alicia Bridges,spotify:track:6c0G8K6G2LlIfJTsRLJjfs
Distant Drums,Jim Reeves,spotify:track:78JlD9PKDckLNq0ouu0DZM
Longview,Green Day,spotify:track:3LRJbFT9rKoKv4aW7PuBJC
Lake Of Fire,Nirvana,spotify:track:4UJmPSJsBsIR1U0N79BU1g
Twist & Crawl - Full Version,Death In Vegas,spotify:track:0hPB4MZ644g3LZpN6gVhPM
"Hold Me, Thrill Me, Kiss Me",Mel Carter,spotify:track:5XPwkZ7vNxeidpNLAkwtFp
Kind of a Drag,The Buckinghams,spotify:track:0eo6DbG3X03HPltJwpdvSu
After The Lights Go Out,The Walker Brothers,spotify:track:3gJVvIbQ3Y93DdJMMAjtAs
No Diggity,Blackstreet,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ
Where You Get Love,Matthew Sweet,spotify:track:3LTd8XKx4Qfyl0KSTuvscH
Monkey Wrench,Foo Fighters,spotify:track:4d0bHjKYeGUsR0Yerk8Nq5
Olhos Coloridos,Sandra De SÃÂÃÂ¡,spotify:track:3WbQeVrXDcwRh0oue6ouy1
This Shrieking Love,Moist,spotify:track:5rWroxeFftXJp8GZmpnmvN
Date Rape,Sublime,spotify:track:7FLQo89iaS5gf2hnIEW7P9
Bullet In the Head,Rage Against The Machine,spotify:track:11cxKUEgnVAlesUKt4e3br
Since I Found My Baby,Cornelius Brothers & Sister Rose,spotify:track:7ioli04BC5rpLV8Eovt4Rb
Down By The Water,PJ Harvey,spotify:track:48mJX8glOrQkrSdVBjc0Wb
You've Really Got A Hold On Me - Mono,The Miracles,spotify:track:3vwyRdYaHX6fQU04bOuWeq
Flowers On the Wall,The Statler Brothers,spotify:track:7ledv9CTjqdwnvHgRmETyZ
Love's Gone Bad - Single Version,Chris Clark,spotify:track:2JNw1qz1nxv6eVQ95yRiqf
Good Golly Miss Molly,The Swinging Blue Jeans,spotify:track:5Yi1Fh3yymr9lwFYFCjtk0
Love Light In Flight - The Woman In Red/Soundtrack Version,Stevie Wonder,spotify:track:2NaOvpnfJoSEbG5LtcgNHT
Glory Box,Portishead,spotify:track:3Ty7OTBNSigGEpeW2PqcsC
Long Tall Sally,Little Richard,spotify:track:6n3HCYuumzxe00S1fBNbUk
Game Of Pricks,Guided By Voices,spotify:track:5aJuA3SC8YGjsqlLJo8rrB
"Without You - 12"" Mix",Talk Talk,spotify:track:0gfaK8Le5PZuFCy1jRFjea
Tesko Suicide,Sneaker Pimps,spotify:track:4maDzakqmkLxFiSQTR9GMZ
Lakini's Juice,Live,spotify:track:3vcybGRC3eU6btnEWuFWII
Everlong,Foo Fighters,spotify:track:53Hic0gf2TABaSEXXhSgij
Sad Tomorrow,The Muffs,spotify:track:0Ed2RTulkL3kp1n4a4c1RN
I Want It All,Eve's Plum,spotify:track:3ZFYthWKkyrkdD5iCT0fT6
100%,Sonic Youth,spotify:track:5bNpYsNWgvF3kLC54vplp8
Even Flow,Pearl Jam,spotify:track:2fUyZwLFD8iKSGORNMRg7Q
Skinny Jim,Eddie Cochran,spotify:track:07JOGpEHBICoVjcIjF4ROY
I See the Light,The Five Americans,spotify:track:4dxdrk5iPhe45Y113YgrHb
I'm Gonna Get Married,Lloyd Price,spotify:track:1jKcwPfDloLOMxC1wMV0ux
New Generation,The Trashmen,spotify:track:7r0DCtk6XRgD21BdVa6vCp
My World Fell Down,Sagittarius,spotify:track:63Zb0epU5ysyvDa72Jm4I1
Rita Ballou,Guy Clark,spotify:track:0MZOhW2owaEpMLiJK18ODo
Lady Luck,Lloyd Price,spotify:track:2MWxpIwgwY4wc4tFs6NyhS
Quererte A Ti,Angela Carrasco,spotify:track:4dRr0TfZQmZF2waLzRzoQo
Maybe I Should Drive,Trashcan Sinatras,spotify:track:34QtXtmXSHEwjilYpCgHQq
Life Is But A Dream,The Harptones,spotify:track:6CJnPLGcsyFErEoJb6gHFK
Every Breath You Take,The Police,spotify:track:2PnNomkEqlg9ADKCVG0Wt0
God Gave Rock 'N' Roll To You II,KISS,spotify:track:1jJenVEjsXClGR4n4vJkMu
Papa-Oom-Mow-Mow,The Rivingtons,spotify:track:0As6CEEV5d6tOEFhSx444J
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:0ZUJJOh6eD2Vsp0DPIDn6m
When You Dance,The Turbans,spotify:track:4rXndJbjTYZ4ISX3pBGxfL
If You Could Read My Mind,Ultra NatÃÂÃÂ©,spotify:track:1bOJQnJsFW5LZOgGp4K2mb
When The Bill's Paid,Lee Dorsey,spotify:track:63caRpqgUi5LgDdtSIfeGu
I Had A Choice,Sun,spotify:track:2MZ7oAQXjSr5cseaBtZRO5
A Lap Dance Is So Much Better When The Stripper Is Crying,Bloodhound Gang,spotify:track:0US6gDAsSqrJAwNAOySGJG
You're Drivin' Me Insane,The Missing Links,spotify:track:3S1ViTbWtouyf0strYUPtO
Te Lo Pido de Rodillas,Los Iracundos,spotify:track:1hFFbIMysMP8CfCgLvh7hh
Groove Me,King Floyd,spotify:track:0gtTfaz5zzbJA28Ypu7k0W
Hell Patrol,Judas Priest,spotify:track:6QKplS12OIhLVzbfCOLesv
Dear Grandma and Grandpa,Tortoise,spotify:track:0XDDXAyt7IVnsJB61qTTIX
Russian Dance,Tom Waits,spotify:track:1gF2RVopTCViPyLxefWcVA
Local Boy In The Photograph,Stereophonics,spotify:track:6YzDOgtHkmtr70v9SD1gAp
1000 Julys - 2008 Version,Third Eye Blind,spotify:track:4lOTExIbwaF57eYVmNpYr3
Murder By Numbers,The Police,spotify:track:0lktcpMTbnJEWKhq5IZpWH
Things Got To Get Better (Get Together),Marva Whitney,spotify:track:3KwQzFIMZu7NDAT2f34yeP
Don't Make Me Over,The Swinging Blue Jeans,spotify:track:32k4wWy6So9gbyO3L6W6S4
Sarah,Thin Lizzy,spotify:track:0fDeJgNqSy2JLjpNYNWl2o
We've Gotta Get Out of This Place,The Animals,spotify:track:6ZMBR8nPA10HTmbtIUXpO6
Resurrection,Moist,spotify:track:6wYhV6cdyyEGjDbOEp7KNY
Charms,Piero Piccioni,spotify:track:41IPetXgJphAybc8SSDt4H
I'm Not Your Stepping Stone,Modern Rocketry,spotify:track:2rpL1BVJVZSPGTCKiikkQI
Emotions - Single Version,Brenda Lee,spotify:track:4ODCxzYw6FudmgDneqAHQQ
Bang The Drum,Railroad Jerk,spotify:track:5B92EbOT2VV3kxQOsdog9l
Swamp Song,TOOL,spotify:track:5q4L6JyoEY3VN5pOSbgjS8
Wrong Way,Sublime,spotify:track:1kWja6NVaLZThMop9MYVDz
"Mercy, Mercy, Mercy",Marlena Shaw,spotify:track:7Ioe6CX5dGu1Fcj1uUDRY1
This Is How It Feels,Inspiral Carpets,spotify:track:5KfbPmPuJu6GXkQkCLLrjI
Superman,The Clique,spotify:track:41clFYmZA3TssqT3V5uEup
Make Out Club,Unrest,spotify:track:4AEKI30kjodPWWUSmol0tM
Boll Weevil,The Presidents Of The United States Of America,spotify:track:7E1lDtJB1JQOqxJnmCOc2B
Torn,Natalie Imbruglia,spotify:track:1Jaah2tmN9Hv81A87KZ1MU
Precision Auto,Superchunk,spotify:track:78V4r6d4p6GApUxN0F3Evm
Cannonball,The Breeders,spotify:track:51m0PrZokFZNk5b5xptyzC
Trip,Hammerbox,spotify:track:679kH8aHoK9lQ24T7GF9L9
When I Grow Up,Garbage,spotify:track:0jh0sSxteIjHCBIppejg8k
I Don't Know,Duke Pearson,spotify:track:5vQwcQLmxBg4kjY246sS4J
Everybody's Somebody's Fool,Connie Francis,spotify:track:6jdONXtmF2ZmLyRgZfwDRj
I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,spotify:track:4tMxTsEPybFSX1dq7BOC4K
