Little Ole Man (Uptight-Everything's Alright),Bill Cosby
Guitar Boogie Shuffle Twist,The Virtues
A Young Girl,Noel Harrison
Morning Dew,Lulu
Something's Missing,5 Stairsteps and Cubie
What's The Reason,Bobby Edwards
It's A Funky Thing-Right On (Part 1),Herbie Mann
Is This What I Get For Loving You?,The Ronettes Featuring Veronica
Looking With My Eyes,Dionne Warwick
"Can't Get Enough Of You, Baby",? (Question Mark) & The Mysterians
Harper Valley P.T.A. (Later That Same Day),Ben Colder
Please,Frank Ifield
Over You,Gary Puckett And The Union Gap
Blue Moon,Herb Lance & The Classics
You've Lost That Lovin' Feeling,Dionne Warwick
Lemon Tree,"Peter, Paul & Mary"
No If's - No And's,Lloyd Price and His Orchestra
Little Star,Bobby Callender
Soul Twist,King Curtis And The Noble Knights
On The Dock Of The Bay,The Dells
She,Tommy James And The Shondells
Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Alabam,Pat Boone
Goodbye My Lover Goodbye,The Searchers
What Good Am I Without You,Marvin Gaye & Kim Weston
Jingle Bell Rock,Bobby Rydell/Chubby Checker
Roly Poly,Joey Dee & the Starliters
Come Into My Heart,Lloyd Price and His Orchestra
She's With Her Other Love,Leon Hayward
Hootenanny,The Glencoves
The Train,1910 Fruitgum Co.
It's Gonna Be Alright,Gerry And The Pacemakers
One Of Us (Will Weep Tonight),Patti Page
Summer Souvenirs,"Karl Hammel, Jr."
Hi-Heel Sneakers,Jose Feliciano
If You Wait For Love,Bobby Goldsboro
You Don't Have To Say You Love Me,The Four Sonics
I've Got Love For My Baby,Young Hearts
The Impossible Dream,The Hesitations
Anyway The Wind Blows,Doris Day
Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans
Wait For Me,The Playmates
"Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)",Jimmie Rodgers
Whole Lot Of Shakin' In My Heart (Since I Met You),The Miracles
Chattanooga Choo Choo,Ernie Fields & Orch.
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
Skokiaan (South African Song),Bill Haley And His Comets
(How Can I Write On Paper) What I Feel In My Heart,Jim Reeves
Soul-Limbo,Booker T. & The MG's
Dream A Little Dream Of Me,Mama Cass With The Mamas & The Papas
That's A Lie,Ray Charles
Mexico,Bob Moore and His Orch.
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques
The Weight,Supremes & Temptations
Daisy Petal Pickin',Jimmy Gilmer And The Fireballs
Everybody Go Home,Eydie Gorme
Count Me In,Gary Lewis And The Playboys
I Heard It Through The Grapevine,Gladys Knight And The Pips
"Please, Please, Please",James Brown And The Famous Flames
Why Don't You Believe Me,The Duprees featuring Joey Vann
Understanding,Ray Charles
It's Wonderful To Be In Love,The Ovations (Featuring Louis Williams)
Now That You've Gone,Connie Stevens
"Mind, Body and Soul",The Flaming Ember
Theme From The Sundowners,Felix Slatkin Orchestra and Chorus
Funky Walk Part I (East),Dyke And The Blazers
One Piece Topless Bathing Suit,The Rip Chords
Little Miss Stuck-Up,The Playmates
Apache,Jorgen Ingmann & His Guitar
Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart
Workin' For The Man,Roy Orbison
Mind Excursion,The Trade Winds
I Can't Stop Talking About You,Steve & Eydie
Soothe Me,Sims Twins
How High The Moon (Part 1),Ella Fitzgerald
Wonderful,Blackwell
Get Away,Georgie Fame And The Blue Flames
Donna The Prima Donna,Dion (Di Muci)
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires
My Girl Sloopy,The Vibrations
"Don't Try To Fight It, Baby",Eydie Gorme
Pictures Of Matchstick Men,The Status Quo
Cerveza,Bert Kaempfert And His Orchestra
One Too Many Mornings,Beau Brummels
Wooly Bully,Sam The Sham and the Pharaohs
"1, 2, 3, Red Light",1910 Fruitgum Co.
Tell Me (You're Coming Back),The Rolling Stones
Competition Ain't Nothin',Little Carl Carlton
You Got To Pay The Price,Gloria Taylor
C'mon Marianne,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
I'll Take You Home,"The Corsairs Featuring Jay ""Bird"" Uzzell"
Down By The Riverside,Les Compagnons De La Chanson
Temptation 'Bout To Get Me,The Knight Bros.
Girls In Love,Gary Lewis And The Playboys
Pictures In The Fire,Pat Boone
Mrs. Robinson,Booker T. & The MG's
I Left My Heart In The Balcony,Linda Scott
Don't Fence Me In,George Maharis
One Woman,Johnny Rivers
We're Rolling On (Part I),The Impressions
Tickle Me,Elvis Presley With The Jordanaires
Hop Scotch,Santo & Johnny
Crumbs Off The Table,The Glass House
"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Associ",Jan & Dean
Buy For Me The Rain,The Nitty Gritty Dirt Band
I'm A Fool,"Dino, Desi & Billy"
I'm So Thankful,The Ikettes
"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals
"Midnight Special, Part 1",Jimmy Smith
She Wants T' Swim,Chubby Checker
I Want You To Be My Baby,Ellie Greenwich
Out Of The Blue,Tommy James And The Shondells
Let's Dance,Ola & The Janglers
Airplane Song (My Airplane),The Royal Guardsmen
Crying Time,Ray Charles
Nothing Goes Up (Without Coming Down),Nat King Cole
One Mint Julep,Chet Atkins
Just Give Me A Ring,Clyde McPhatter
If She Should Come To You (La Montana),Anthony Newley
Walk On The Wild Side (Part 1),Jimmy Smith And The Big Band
(Theme From) The Sundowners,Mantovani & His Orchestra
The Big Time Spender (Parts I & II),Cornbread & Biscuits
Hitchcock Railway,Jose Feliciano
The Lonely Crowd,Teddy Vann
Do You Want To Dance,Del Shannon
Everything's Alright,The Newbeats
Mojo Workout (Dance),Larry Bright
Secret Love,"Richard ""Groove"" Holmes"
I Got A Woman,Freddie Scott
Think,Brenda Lee
The Organ Grinder's Swing,Jimmy Smith With Kenny Burrell And Grady Tate
Tell Her (You Love Her Every Day),Frank Sinatra
Midnight Lace - Part I,Ray Conniff His Orchestra And Chorus
I Could Never Lie To You,The New Colony Six
Shortnin' Bread,Paul Chaplain and his Emeralds
I Put A Spell On You,Alan Price Set
Still No. 2,Ben Colder
The Fish,Bobby Rydell
Little Miss Sad,The Five Emprees
Put Your Mind At Ease,Every Mothers' Son
Mr. Songwriter,Connie Stevens
Chains Of Love,Bobby Bland
Almost In Love,Elvis Presley With The Jordanaires
Twistin' All Night Long,Danny & The Juniors with Freddy Cannon
May The Bird Of Paradise Fly Up Your Nose,"""Little"" Jimmy Dickens"
For Your Precious Love,Jackie Wilson & Count Basie
You Always Hurt The One You Love,Clarence Henry
Just Call Me (And I'll Understand),Lloyd Price and His Orchestra
"Truly, Truly, True",Brenda Lee
How'd We Ever Get This Way,Andy Kim
Senza Mamma (With No One),Connie Francis
Laura (Tell Me What He's Got That I Ain't Got),Brook Benton
This Girl Is A Woman Now,Gary Puckett And The Union Gap
The Door To Paradise,Bobby Rydell
Michael,The C.O.D.'s
Love Machine,The O'Kaysions
Too Many Cooks (Spoil The Soup),100 Proof Aged in Soul
I'll Keep You Satisfied,Billy J. Kramer With The Dakotas
Birds Of Britain,Bob Crewe Generation
Temptation,Roger Williams
That's The Way,Joe Tex
The Whiffenpoof Song,Bob Crewe
My Dreams,Brenda Lee
Will You Be Staying After Sunday,The Peppermint Rainbow
You're My Baby (And Don't You Forget It),The Vacels
That's The Only Way,The 4 Seasons
Memories Of Maria,Jerry Byrd
Just Come Home,Hugo & Luigi
La La La,Gerry And The Pacemakers
Piece Of My Heart,Big Brother And The Holding Company
I Understand (Just How You Feel),The G-Clefs
Bye Bye Blues,Bert Kaempfert And His Orchestra
Backfield In Motion,Mel And Tim
Kiss Me Quick,Elvis Presley With The Jordanaires
Bubble Gum Music,Rock & Roll Double Bubble
On The Good Ship Lollipop,The Wonder Who?
Fame And Fortune,Elvis Presley With The Jordanaires
Wang Dang Doodle,Ko Ko Taylor
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers
Forgive Me,Al Martino
Look For A Star - Part I,Garry Mills
A Thousand Stars,Kathy Young With The Innocents
Together Again,Ray Charles
Lady Luck,Lloyd Price and His Orchestra
I'm Yours,Elvis Presley
You've Been In Love Too Long,Martha & The Vandellas
I'm Indestructible,Jack Jones
You Better Move On,Arthur Alexander
Good Night Baby,The Butterflys
Traces,Classics IV Featuring Dennis Yost
The Eggplant That Ate Chicago,Dr. West's Medicine Show and Junk Band
Ivory,Bob Seger System
Boot-Leg,Booker T. & The MG's
"Bucket ""T""",Ronny And The Daytonas
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay
You Keep Me Hangin' On,The Vanilla Fudge
Let's Call It A Day Girl,Bobby Vee
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond
I Wanna Meet You,The Cryan' Shames
All Along The Watchtower,The Jimi Hendrix Experience
Brother-In-Law (He's A Moocher),Paul Peek
I May Not Live To See Tomorrow,Brian Hyland
You Wanted Someone To Play With (I Wanted Someone To Love),Frankie Laine
Zabadak,"Dave Dee, Dozy, Beaky, Mick And Tich"
Ballad Of The Alamo,Bud & Travis
What Now My Love,"""Groove"" Holmes"
String Along,Fabian
Without Her,Herb Alpert
Ginnie Bell,Paul Dino
Montage From How Sweet It Is (I Know That You Know),The Love Generation
Mashed Potatoes U.S.A.,James Brown And The Famous Flames
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton
Watermelon Man,Mongo Santamaria Band
Tracy's Theme,Spencer Ross
I Don't Know What It Is,The Bluenotes
"The ""A"" Team",SSgt Barry Sadler
I'm Not Afraid,Ricky Nelson
Cold Sweat - Part 1,James Brown And The Famous Flames
The Lovin' Touch,Mark Dinning
The Pink Panther Theme,Henry Mancini And His Orchestra
Sugar Plum,Ike Clanton
But I Do,Clarence Henry
Horse Fever,Cliff Nobles & Co.
The Boys' Night Out,Patti Page
Girls Girls Girls (Part II),The Coasters
After Loving You,Della Reese
Life And Death In G & A,Abaco Dream
Red Roses For A Blue Lady,Bert Kaempfert And His Orchestra
It Could Be We're In Love,The Cryan' Shames
Voodoo Woman,Bobby Goldsboro
Sippin' 'N Chippin',The T-Bones
Tramp,Lowell Fulsom
"Peaches ""N"" Cream",The Ikettes
Moonflight,Vik Venus Alias: Your Main Moon Man
I'm Too Far Gone (To Turn Around),Bobby Bland
Promise Me A Rose (A Slight Detail),Anita Bryant
You're The Boss,LaVern Baker & Jimmy Ricks
"Quando, Quando, Quando (Tell Me When)",Pat Boone
Sunday Mornin' Comin' Down,Ray Stevens
Bang Bang,The Joe Cuba Sextet
It Feels So Right,Elvis Presley With The Jordanaires
She's Got Everything,The Essex Featuring Anita Humes
Don't Answer The Door - Part 1,B.B. King
China Doll,The Ames Brothers
I'm So Lonesome I Could Cry,Johnny Tillotson
For Your Love,Sam & Bill
Tommy,Reparata And The Delrons
A Little Too Much,Clarence Henry
I Found A Love,The Falcons & Band (Ohio Untouchables)
Gallant Men,Senator Everett McKinley Dirksen
Venus,The Shocking Blue
Count Every Star,Linda Scott
Jack The Ripper,Link Wray And The Wraymen
My Empty Room,Little Anthony And The Imperials
Angela Jones,Johnny Ferguson
Let It Be Me,Betty Everett & Jerry Butler
Sure Gonna Miss Her,Gary Lewis And The Playboys
Rain,Jose Feliciano
"Don't Believe Him, Donna",Lenny Miles
Afrikaan Beat,Bert Kaempfert And His Orchestra
No Not Much,The Smoke Ring
Send Me The Pillow You Dream On,The Browns Featuring Jim Edward Brown
"Won'cha Come Home, Bill Bailey",Della Reese
Black Land Farmer,Frankie Miller
A Minute Of Your Time,Tom Jones
Funky Broadway Part I,Dyke And The Blazers
Rinky Dink,Baby Cortez
You've Got To Hide Your Love Away,The Silkie
That Lucky Old Sun,Ray Charles
The Teaser,Bob Kuban And The In-Men
Did You Have A Happy Birthday?,Paul Anka
Java,Al (He's the King) Hirt
Your Teenage Dreams,Johnny Mathis
Omaha,Moby Grape
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",Allan Sherman
Image - Part 1,Hank Levine And Orchestra
Wishing It Was You,Connie Francis
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins
It's Only Love,Tommy James And The Shondells
(My Girl) Sloopy,Little Caesar And The Consuls
Hip Hug-Her,Booker T. & The MG's
You Can't Sit Down Part 2,Philip Upchurch Combo
Too Much Of Nothing,"Peter, Paul & Mary"
Once Upon A Time,Rochell And The Candles With Johnny Wyatt
Soul Sauce (Guacha Guaro),Cal Tjader
Amapola,Jacky Noguez And His Orchestra
Lovin' Season,Gene And Debbe
Hang 'Em High,Booker T. & The MG's
Hot Pepper,Floyd Cramer
Pipe Dream,Blues Magoos
The Rains Came,Big Sambo and The House Wreckers
Time Is Tight,Booker T. & The MG's
Summer Wine,Nancy Sinatra with Lee Hazlewood
Out Of Sight - Out Of Mind,Sunny & The Sunliners
"Dianne, Dianne",Ronny And The Daytonas
The Great Airplane Strike,Paul Revere & The Raiders Featuring Mark Lindsay
Don't Let The Rain Fall Down On Me,The Critters
She Belongs To Me,Rick Nelson
"Bye, Bye, Baby (Baby, Goodbye)","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Love (Makes Me Do Foolish Things),Martha & The Vandellas
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks
Joey Baby,Anita & Th' So-And-So's
The Lady Came From Baltimore,Bobby Darin
Better Use Your Head,Little Anthony And The Imperials
The Yard Went On Forever,Richard Harris
I Stand Accused (Of Loving You),The Glories
Turn On Your Love Light,Bobby Bland
Teardrops In My Heart,Joe Barry
Darling Be Home Soon,Bobby Darin
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
Born Free,The Hesitations
I'm Movin' On,Ray Charles and his Orchestra
Yesterday,Ray Charles
The Twist,Hank Ballard And The Midnighters
Ask Me,Elvis Presley With The Jordanaires
Pineapple Princess,Annette With The Afterbeats
(Doin' The) Lovers Leap,Webb Pierce
The Boogaloo Party,The Flamingos
Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus"
Make It Easy On Yourself,The Walker Bros.
Sweet William,Millie Small
The Revolution Kind,Sonny
My Heart Would Know,Al Martino
Stranger On The Shore,Mr. Acker Bilk
Once Upon A Time,Marvin Gaye & Mary Wells
Do It Again A Little Bit Slower,Jon & Robin And The In Crowd
Wiederseh'n,Al Martino
The Girl That Stood Beside Me,Bobby Darin
Hootenanny Saturday Night,The Brothers Four
How Much Is That Doggie In The Window,Baby Jane & The Rockabyes
Gotta Travel On,Timi Yuro
The Mexican Shuffle,Herb Alpert's Tijuana Brass
Share Your Love With Me,Bobby Bland
Wiggle Wobble,Les Cooper and the Soul Rockers
Green Onions,Booker T. & The MG's
Day Is Done,"Peter, Paul & Mary"
What Time Is It?,The Jive Five With Eugene Pitts
A Million To One,Five Stairsteps & Cubie
Winchester Cathedral,Dana Rollin
The Happy Reindeer,"Dancer, Prancer And Nervous"
Dumb Head,Ginny Arnell
Theme For Young Lovers,Percy Faith And His Orchestra
It's All Over,Ben E. King
Alley-Oop,Dante and the Evergreens
I'm In Love,Wilson Pickett
