Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Baby, Oh No (Digitally Remastered 1993)	Bow Wow Wow	spotify:track:2rMmUfGf0ARyRAhZnaQIt4	0.465	0.859	10	-11.364	0	0.0764	0.0176	6.43e-06	0.192	0.587	143.643	165293	4	26.26637	9	0
Moonset 1	Andre Tschaskowski	spotify:track:3PMtrnETvpKeLkjgb1NbUC	0.415	0.0434	9	-19.773	0	0.0336	0.925	0.792	0.114	0.178	108.059	286480	4	53.00155	14	0
Wired For Sound	Cliff Richard	spotify:track:4VGlBK62umuMrrN7hv9Ins	0.545	0.894	1	-4.48	1	0.0956	0.121	0	0.0602	0.845	157.668	218400	4	31.23555	11	1
Paper House - 2016 Remastered Version	The Associates	spotify:track:1LuDcJ0BGtYR1RyrDvXBZI	0.591	0.851	0	-8.291	1	0.0355	0.00836	0.228	0.076	0.728	158.342	296520	3	27.13545	17	0
The Angel Song	Great White	spotify:track:1JxRLFVoFx2f7zumJwRDSw	0.594	0.21	9	-17.807	0	0.0293	0.685	0.00184	0.0918	0.099	110.415	291067	4	53.15433	12	1
Wild, Wild West	The Escape Club	spotify:track:4Qn1QhHhUT01LfpBnC7xnf	0.724	0.907	11	-4.78	0	0.0632	0.0187	4.97e-06	0.0824	0.962	139.016	244827	4	18.86366	13	1
Gypsy Road	Cinderella	spotify:track:2F8Glc7r4mHHSCEegD4Ju1	0.524	0.886	9	-9.154	1	0.0385	0.00566	0.00182	0.331	0.511	132.446	235733	4	40.81669	9	1
Something Familiar	Blue Zoo	spotify:track:6qoYE8OqGkDueDSAg9C1qg	0.588	0.783	2	-6.756	1	0.0338	0.388	0.00101	0.0525	0.737	155.331	225227	4	30.1482	8	0
Stand By Me	Maurice White	spotify:track:78ed1StERMVBNocbSEQpCF	0.77	0.77	11	-9.34	0	0.0313	0.0767	1.21e-05	0.266	0.961	118.268	249640	4	30.64932	12	1
Baby Jane	Rod Stewart	spotify:track:1wrT33b6HuKlpk9ziscEUY	0.641	0.796	2	-8.56	0	0.0407	0.0137	0.000115	0.358	0.727	123.229	283493	4	30.40757	11	1
Listen - Take #1	Al Green	spotify:track:5ufJFBQyKz0kQCMzN38pIf	0.789	0.612	5	-7.712	1	0.0688	0.884	0.0671	0.0888	0.921	93.226	162440	4	32.4646	8	0
Missionary Man	Eurythmics	spotify:track:1LgZRmGoSyiOOWxjTjMJy0	0.59	0.85	10	-4.271	0	0.0589	0.0392	5.73e-06	0.248	0.566	124.895	267947	4	39.17536	13	1
Perfect Way	Scritti Politti	spotify:track:4f79zDW0EEn7ahOTjiNUn6	0.721	0.64	4	-11.882	0	0.0661	0.105	0.0394	0.353	0.741	104.576	284120	4	64.82689	12	1
Solitaire	Laura Branigan	spotify:track:17RxTPSIGg0WP92dAiZliC	0.695	0.826	6	-5.298	0	0.0299	0.361	0.00366	0.113	0.806	138.675	245933	4	24.93239	16	0
Take Me Up - Radio Short	Matrix	spotify:track:5fvpClzorIwjrfqHBzzEVT	0.812	0.726	2	-11.467	1	0.062	0.348	0.0621	0.109	0.869	121.055	223000	4	34.38587	13	0
I'm In Love With A Girl Who Doesn't Know I Exist	Another Sunny Day	spotify:track:75n8cfDYP3OfU2sDGIe6YF	0.663	0.518	7	-11.251	1	0.0323	0.315	0.47	0.316	0.791	104.658	98707	4	37.11382	6	0
River Euphrates	Pixies	spotify:track:1FKWWmT46hgeerUUR7YedM	0.527	0.704	6	-11.233	1	0.0369	0.00113	0.00211	0.264	0.655	125.457	154907	4	52.81543	8	0
Go Down Easy	Dan Fogelberg	spotify:track:22yC2cBx4eYNtqyCEMhwUT	0.636	0.257	4	-16.584	1	0.0326	0.435	4.86e-06	0.0848	0.572	73.359	233000	4	65.32537	9	1
