Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
You Keep Me Hangin' On,The Supremes,spotify:track:4a01ClusxuZiloOK5UgLUn,0.682,0.612,8,-7.004,0,0.0381,0.284,0,0.0783,0.845,127.647,163280,4,49.02718,8
Fiddle Around,Jan & Dean,spotify:track:1Sn2aOOtBBo4stbunKJtXU,0.664,0.545,2,-13.258,1,0.0408,0.758,3.94e-05,0.137,0.963,138.752,151307,4,50.26444,6
Opportunity,The Jewels,spotify:track:6dEKQOQChSmEKCrcfXdsvR,0.688,0.64,5,-5.827,0,0.0401,0.519,0,0.155,0.894,106.187,145373,4,21.2994,8
Let's Kiss And Make Up,Bobby Vinton,spotify:track:7dO8y24ZYL7kW3VWhsecCO,0.391,0.131,0,-13.729,1,0.0294,0.814,0,0.148,0.478,80.982,147000,4,36.92056,7
This Magic Moment,Jay & The Americans,spotify:track:3MVr7KeWF6kf4znJMwiEnx,0.517,0.533,0,-11.053,1,0.0306,0.539,1.97e-05,0.164,0.769,126.229,182800,4,50.87336,7
Sugar And Spice,The Searchers,spotify:track:6WZZPoX7a0893aaXaZRkYa,0.547,0.86,0,-4.932,1,0.0322,0.473,0,0.0479,0.87,143.598,136720,4,28.13072,9
Skip A Rope,Henson Cargill,spotify:track:2kzVFcp3kSU1Qld4dYBM7L,0.623,0.51,6,-13.092,0,0.0374,0.608,0.00267,0.0699,0.54,145.604,160785,4,30.30548,9
Blues (Stay Away From Me),Ace Cannon,spotify:track:6lEZnUw7X4qt5VrdXrAYp9,0.766,0.269,10,-13.557,1,0.0892,0.808,0.517,0.127,0.547,69.772,137600,4,71.65302,6
If You Were A Rock And Roll Record,Freddy Cannon,spotify:track:5Z07bJAwIfoNc9R140nKjQ,0.512,0.923,6,-6.07,0,0.0527,0.424,0,0.312,0.874,77.059,116173,4,69.93801,4
How Can I Forget,Ben E. King,spotify:track:3qjPP3g5q2Pd6SIJg9Bi4Q,0.555,0.546,0,-10.782,1,0.0247,0.688,0,0.233,0.812,90.618,141013,4,54.32998,5
I Can't Say Goodbye,Bobby Vee,spotify:track:6lyDqcj3PbLRnkWxUqJgqW,0.535,0.394,7,-12.836,0,0.0369,0.764,0,0.114,0.445,124.231,127253,4,35.92437,6
Not One Minute More,Della Reese,spotify:track:1iu7A7vOv1andAcWxcIPPF,0.348,0.467,10,-6.346,1,0.0329,0.835,0.000437,0.124,0.258,122.738,158360,4,29.87601,8
Slaughter On Tenth Avenue,The Ventures,spotify:track:2yS6Vq5ErsiCLKsgTfE7Nv,0.463,0.906,2,-12.467,1,0.0346,0.0371,0.868,0.907,0.897,155.569,137027,4,72.2018,6
Here Comes The Boy,Tracey Dey,spotify:track:7HxJgi0wLX58NrhrcViwjg,0.552,0.823,10,-4.792,1,0.0591,0.646,0.000965,0.0702,0.803,72.671,173053,4,33.9467,9
You Don't Know Me,Ray Charles,spotify:track:6OzS0wbTMo9EepLStp7Xyn,0.325,0.421,8,-9.099,1,0.0407,0.735,0,0.145,0.249,187.197,234013,3,28.3982,13
Spinning Wheel,"Blood, Sweat & Tears",spotify:track:0spSRHFS4zF4Imvz9sJcfL,0.695,0.503,7,-9.313,1,0.0605,0.315,2.47e-05,0.261,0.542,96.818,247267,4,49.47647,10
Love (Makes the World Go 'round),Paul Anka,spotify:track:4M24a4FcmIkuCGjEZ3MZMN,0.631,0.622,4,-8.441,0,0.0605,0.697,0,0.143,0.889,143.772,146867,4,24.35372,9
The Twist,Chubby Checker,spotify:track:3ohLnESFgYACPMCkoTOzqE,0.533,0.638,4,-7.13,1,0.0341,0.202,0,0.0729,0.937,156.663,153760,4,24.25674,8
Sailor Boy,The Chiffons,spotify:track:0CEIKXrsriBeQWTTE4eJvt,0.446,0.348,7,-6.319,1,0.0287,0.948,1.38e-05,0.145,0.398,113.917,176227,4,44.19346,8
I Do Love You,Billy Stewart,spotify:track:3J0VYipa6lrdBkjLM7j4iI,0.377,0.499,7,-7.646,1,0.0314,0.848,0.000296,0.268,0.446,176.074,177947,4,39.849,7
Lovin' Things,The Grass Roots,spotify:track:0TuKNCKzfswl6lLyeEtDGr,0.531,0.555,1,-12.952,1,0.0471,0.0395,0.616,0.0701,0.833,131.166,156755,4,60.7789,7
His Kiss,Betty Harris,spotify:track:1UMzgGjcCec8QIbA8VuxBB,0.5,0.423,4,-9.411,1,0.0294,0.699,2.15e-06,0.0919,0.598,151.726,175362,3,23.45315,10
Unchained Melody,The Righteous Brothers,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,0.361,0.219,0,-16.553,1,0.0285,0.563,0,0.558,0.26,98.532,216267,3,51.3972,11
I'm A Man,The Spencer Davis Group,spotify:track:1oXq63OUf43LDnNPVtfvX8,0.554,0.859,9,-8.842,1,0.066,0.16,0,0.117,0.686,128.637,171827,4,31.71179,11
I Want To (Do Everything For You),Joe Tex,spotify:track:4vXM6nJT5IgfQa9xKI9Da7,0.477,0.551,2,-11.344,1,0.0914,0.71,0,0.509,0.945,131.938,127823,4,36.33054,6
No Arms Can Ever Hold You,The Bachelors,spotify:track:6P6adjzPbo1Ukb54i9D4rt,0.464,0.576,0,-11.51,0,0.0323,0.471,0,0.256,0.536,108.051,185667,3,29.1232,8
Bring A Little Lovin',Los Bravos,spotify:track:24hTWZvRrl74dwKPzqVNYf,0.601,0.913,1,-4.681,0,0.134,0.00659,0.0125,0.0713,0.91,115.348,141427,4,30.0778,8
A Man Needs A Woman,James Carr,spotify:track:04Hi1j80cnQoTKbOsfIMiP,0.551,0.371,8,-7.771,1,0.0383,0.729,0,0.241,0.435,75.358,169400,3,90.22353,6
Chapel In The Moonlight,The Bachelors,spotify:track:0IR0Gxgnn4zHeNlrqY8iVp,0.375,0.669,0,-7.424,1,0.0435,0.692,0,0.263,0.698,103.769,124333,4,33.81141,6
Malagueña,Connie Francis,spotify:track:7hpa3Bcjt8Or7tC7TtOIcs,0.297,0.433,0,-9.832,1,0.0307,0.616,0.000103,0.755,0.265,135.914,183867,4,33.76421,9
Lookin' For A Love,The Valentinos,spotify:track:2beuPsXFRVeo6zYFoyujfp,0.799,0.762,2,-8.361,0,0.0383,0.353,0,0.117,0.977,135.261,152947,4,35.02804,9
Riverboat,Faron Young,spotify:track:1LXTz7SxX7C7SCoFpz0Tc2,0.651,0.709,4,-8.817,1,0.049,0.491,0,0.099,0.942,90.851,139200,4,17.51767,7
Memphis Soul Stew,King Curtis,spotify:track:6MqfTP3OwngywVTOS5OAFt,0.724,0.601,11,-10.805,0,0.0634,0.259,0.237,0.111,0.886,113.227,179413,4,90.01244,7
Am I That Easy To Forget,Debbie Reynolds,spotify:track:4ZF26vl3FfGPJCHx5KoQed,0.279,0.258,10,-14.398,1,0.0428,0.837,1.63e-06,0.309,0.31,80.901,141840,4,20.62684,7
Exodus,Ferrante & Teicher,spotify:track:7MIzIo0Z9S8zmBiXdGwOeS,0.417,0.222,2,-15.318,0,0.0344,0.991,0.858,0.181,0.147,91.846,190359,4,51.98764,10
James (Hold The Ladder Steady),Sue Thompson,spotify:track:1N58xQLv5FZ6LgEfcxVByP,0.74,0.571,10,-9.961,1,0.0361,0.808,0,0.112,0.962,138.06,135160,4,43.70054,7
"Baby, What's Wrong",Lonnie Mack,spotify:track:2Aqmzxmue7wu0cmzZe7nda,0.358,0.694,0,-8.733,1,0.0415,0.293,0,0.152,0.834,199.893,227693,4,29.01181,14
Ride Away,Roy Orbison,spotify:track:1nxSCulSg5AtmExqgHPPC0,0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9
What Have I Got Of My Own,Trini Lopez,spotify:track:4PBmt6ov8I5cM6qKE5xkSg,0.746,0.663,2,-9.261,0,0.0312,0.0957,2.86e-06,0.0954,0.78,122.107,157613,4,25.31102,8
Farmer John,The Premiers,spotify:track:4J0aAZIzCpgFO9ejrNj6Mb,0.488,0.897,6,-8.933,1,0.0643,0.412,0.145,0.864,0.508,122.745,166859,4,17.07543,5
"Baby, I Love You",Andy Kim,spotify:track:3z2ZSQZXaWAufdyv3xnuLe,0.556,0.722,9,-6.962,1,0.0331,0.485,0.000324,0.142,0.717,109.155,176440,4,36.14311,9
"Lonely Boy, Lonely Guitar",Duane Eddy,spotify:track:1TUgwU1KIVdyCt6V75Rjc8,0.464,0.495,0,-10.107,1,0.1,0.82,0.239,0.103,0.694,176.463,138707,3,23.7195,7
