Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Lowdown,Boz Scaggs,spotify:track:0nlZjTPzW6S9JIESuGfImT,0.662,0.788,11,-5.544,0,0.0635,0.0812,0.141,0.0351,0.929,116.499,315640,4,39.30664,11
Break Up To Make Up,The Stylistics,spotify:track:3TxCVEadoqOUUxDp9gTh2H,0.583,0.301,4,-10.598,1,0.0243,0.883,0,0.334,0.337,79.364,239840,3,22.39999,13
Wheels Of Life,Gino Vannelli,spotify:track:7uE9ZeScOg28zFE7OHQxuR,0.542,0.47,8,-15.029,1,0.0295,0.113,0.00837,0.0447,0.561,122.795,254893,4,53.83926,9
A Very Special Love Song,Charlie Rich,spotify:track:3EwfpG9f86Z2cHIZ7N99Ii,0.39,0.384,0,-10.487,1,0.027,0.921,0.00303,0.143,0.333,76.482,166173,4,22.29086,9
Ain't No Stoppin' Us Now,McFadden & Whitehead,spotify:track:6EOdY7I7Xm1vPP1cyaGbWZ,0.747,0.701,1,-7.7,1,0.0453,0.127,0,0.084,0.87,112.964,220867,4,36.43004,9
The Air That I Breathe,The Hollies,spotify:track:6yLIqXX9edg1x0HZS7cZEv,0.279,0.473,4,-8.375,0,0.0309,0.242,0.00164,0.158,0.246,167.792,257107,4,30.89775,13
I Believe In Music,Gallery,spotify:track:386HqCyTreE3TofRL3hLpw,0.589,0.413,9,-13.959,1,0.082,0.343,0,0.0977,0.631,89.763,175560,4,55.23632,7
Wasn't It Good,Cher,spotify:track:0DdwMKMqUEwkxUmg3lvldq,0.922,0.6,2,-12.126,1,0.0651,0.0374,2.16e-05,0.026,0.911,129.413,263000,4,31.3323,14
Shakey Ground,The Temptations,spotify:track:34k5Lg38yxuEpIYdeHudpo
One Day At A Time,Marilyn Sellars,spotify:track:7jgOfwEgqYWr99INpBsSvR,0.507,0.349,7,-10.151,1,0.0247,0.714,0,0.24,0.323,66.859,208467,3,23.17395,12
Skybird,Tony Orlando & Dawn,spotify:track:4Lz3enHeIXVTVpvim4vyFz,0.419,0.415,4,-11.844,1,0.0376,0.246,5.25e-05,0.14,0.419,122.354,229267,4,36.4528,10
Fly Like An Eagle,Steve Miller,spotify:track:1gSBdjZwCinKuPqolmUvFs,0.651,0.572,7,-12.684,1,0.0993,0.0957,0.00266,0.171,0.622,99.854,285440,4,50.99714,13
I Wish It Was Me You Loved,The Dells,spotify:track:1qmvkMyrKabcgBUgqntwUv,0.517,0.356,2,-13.827,1,0.0424,0.229,8.54e-06,0.56,0.564,118.07,230627,4,57.07166,7
River,Joe Simon,spotify:track:4sWKNf3U5cPXG09d8LM38N,0.474,0.791,1,-9.037,1,0.114,0.111,5.17e-05,0.289,0.689,100.086,199027,4,22.56629,8
"Money, Money, Money",ABBA,spotify:track:29FNeqjOV2kPWGS55qhtGB,0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445,186787,4,39.84122,7
I Wanna Be Free,Loretta Lynn,spotify:track:7uvYazzYiOFypSELRfTnWP,0.599,0.488,10,-8.965,1,0.0299,0.859,5.2e-06,0.124,0.843,142.972,138733,4,17.11769,9
Sooner Or Later,The Impressions,spotify:track:2iiR33RplLoOfgQv6DeNi0,0.45,0.789,10,-6.528,0,0.126,0.0638,3.25e-05,0.168,0.779,170.831,210547,4,40.80887,10
Hold On,Wild Cherry,spotify:track:4qE2MphVHtBglZY0LYqE1e,0.377,0.591,11,-12.715,0,0.0452,0.0663,0,0.0814,0.826,159.621,249000,4,37.76611,10
Love Won't Let Me Wait,Major Harris,spotify:track:7eQyTHRRxYkyUh8JRNOw09,0.569,0.205,9,-17.148,1,0.0358,0.919,1.94e-06,0.0894,0.327,115.705,333093,3,35.82992,12
At Midnight,T-Connection,spotify:track:1QcYtgR3MFv9YsZPZPvIoN,0.822,0.865,0,-8.387,1,0.0834,0.0273,0.409,0.0313,0.904,117.151,584149,4,113.15075,17
Country Side Of Life,Wet Willie,spotify:track:2qQusZC1YyZSLzhkffY9IG,0.698,0.442,9,-12.959,0,0.0889,0.276,4.25e-06,0.104,0.791,89.596,210427,4,22.78734,11
Outa-Space,Billy Preston,spotify:track:17KFO56mkVEKR0v8qOPlkU,0.715,0.827,1,-8.555,1,0.0369,0.14,0.176,0.243,0.901,116.213,250867,4,29.78073,15
There Ain't No Way,Lobo,spotify:track:4OBlqVFPnsWjGyaYaQv9pp,0.636,0.645,2,-10.341,1,0.0284,0.211,0.000157,0.0392,0.835,125.487,196827,4,25.19489,12
To The Other Woman (I'm The Other Woman),Doris Duke,spotify:track:2nRk3PqhhekI963sCvoRrm,0.432,0.358,7,-11.946,1,0.105,0.43,2.59e-06,0.15,0.455,147.127,178707,4,29.18614,10
Money Back Guarantee,Five Man Electrical Band,spotify:track:5rryyflY4ccQG53xbBOGMB,0.409,0.72,2,-11.829,1,0.0404,0.207,0,0.0688,0.836,157.005,201533,4,24.06413,11
Look-Ka Py Py,The Meters,spotify:track:5x9239aGsatbpoPHSbDXBv,0.683,0.629,10,-14.908,0,0.132,0.12,0.358,0.533,0.932,174.713,198133,4,38.36651,11
Slaughter,Billy Preston,spotify:track:5UM8o0YPE4o168xZ3l5Upp,0.652,0.831,2,-6.771,1,0.0354,0.0155,7.79e-05,0.296,0.64,116.17,165533,4,38.0362,7
Somebody Loves You,The Whispers,spotify:track:5NFwLWdLtkdoKxoYLo1lFX,0.26,0.668,2,-6.183,0,0.0453,0.067,1.76e-05,0.0779,0.348,150.742,198082,4,56.90577,9
She Said Yes,Wilson Pickett,spotify:track:3NuKKai62W3W8etSaNqarg,0.671,0.5,0,-15.499,1,0.028,0.289,1.7e-05,0.441,0.783,94.041,195373,4,28.2425,11
Tight Rope,Leon Russell,spotify:track:6f5bVwzW72D5M8lZzH8Csg,0.736,0.3,4,-12.464,0,0.0759,0.795,1.96e-05,0.0701,0.732,153.691,181000,4,27.02553,9
I Go To Rio,Pablo Cruise,spotify:track:698F9QrhDemBL8WUKR9PlW,0.613,0.678,5,-14.088,1,0.0437,0.0174,0,0.245,0.835,127.793,239733,4,73.44253,8
Galaxy,War,spotify:track:1SbA3jg6wqrUcmvSk4Fw7x,0.719,0.743,0,-10.735,1,0.0638,0.0545,0.00248,0.0782,0.488,118.284,494107,4,48.14173,19
5-10-15-20 (25-30 Years Of Love),The Presidents,spotify:track:32K61QzaFuPzsAQRd2a4OV,0.451,0.682,0,-8.464,1,0.0593,0.612,1.11e-06,0.0651,0.737,152.669,193027,4,40.36212,7
Super Bad (Part 1 & Part 2),James Brown,spotify:track:5YP4k0fN6bgd6EoRafb1TY,0.753,0.975,2,-3.135,1,0.0748,0.471,0.0857,0.3,0.763,125.874,556453,4,27.47977,19
Come Into My Life,Jimmy Cliff,spotify:track:0Gms0Ad9iBfwoInbDbSoLn,0.618,0.435,1,-16.321,1,0.0589,0.0501,6.79e-06,0.158,0.615,166.351,175027,4,53.30344,9
Sideshow,Blue Magic,spotify:track:0fopVbPW7N5BK0sOybQCq2,0.586,0.337,7,-13.165,1,0.0347,0.837,0,0.628,0.543,133.229,251520,4,39.93258,12
Down By The River,Buddy Miles,spotify:track:6zYQOQjcQlv5zIJ17q65LG,0.6,0.37,2,-12.345,1,0.0376,0.183,9.94e-05,0.153,0.254,127.453,380453,4,28.17183,15
"Guns, Guns, Guns",The Guess Who,spotify:track:0NMY0zEYQSp52hY8JFDIOX,0.302,0.596,9,-11.395,1,0.0361,0.0183,0.000306,0.2,0.935,164.642,301133,4,90.42869,11
Spirit In The Sky,Norman Greenbaum,spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,242893,4,45.16119,10
Day By Day,Godspell,spotify:track:0CL6rdrJ1gQhnSMpna1bz9,0.418,0.275,5,-13.366,1,0.029,0.197,0,0.108,0.342,135.419,179787,4,31.98992,7
Use Ta Be My Girl,The O'Jays,spotify:track:7H2hjTOsebKijBFaHeGo24,0.652,0.608,1,-7.383,1,0.0538,0.49,0,0.147,0.876,111.465,198707,4,29.14664,11
Full Of Fire,Al Green,spotify:track:74hrm9x1vxIW7mSZgeyG7J,0.771,0.563,2,-10.722,0,0.0284,0.252,0.00323,0.133,0.884,113.915,315000,4,48.14179,12
