Share The Night - Club Mix,World Premiere,spotify:track:6dGREBs7FIF4vsTKDNemOG
I Go Crazy,Flesh For Lulu,spotify:track:4nI98GEywAAxoA0i8Vap4s
Padam padam,Ãdith Piaf,spotify:track:194uD6fRM58ztn7Z1Mfyr2
Pity,The Creatures,spotify:track:3n1NyaeGZuCRDsvktdplwV
Blackout,Scorpions,spotify:track:2eAUWu5b9fFFRCGOsxSKRm
In the Name of Love,Sharon Redd,spotify:track:7fsVQankdDCwYHjQVcjydW
We Are The World,U.S.A. For Africa,spotify:track:3Z2tPWiNiIpg8UMMoowHIk
Bus Stop,The Hollies,spotify:track:5puwriABoYtww2C89txaCc
"Monkey in Winter - 12"" B-Side Version",The Colourfield,spotify:track:3rkgk4KXEjNaho6yQ3GyKs
Piano In The Dark,Brenda Russell,spotify:track:70RPjUR5l0jmBQndfNXP0z
Strange Affair,Minnie Riperton,spotify:track:5sECYkNL4N4chkL23SSuKt
I Don't Know,Ozzy Osbourne,spotify:track:1cDu1ZVtBExJYohWBellWs
Does Caroline Know - 1997 Remaster,Talk Talk,spotify:track:6yIY0S3vQIplRWO92jymmr
Computer Love,Zapp,spotify:track:362zcsyXMLbL7PNLhOovvm
Cool Cat - Remastered 2011,Queen,spotify:track:7nhWtCc3v6Vem80gYPlppQ
"Warm Weather - 12"" Version",Pieces Of A Dream,spotify:track:27IMcFJ1lv1vFSoKu0qjEJ
Satisfaction,Laura Branigan,spotify:track:7twfQ9tExZor0CaC3FogKj
To Live Is To Die,Metallica,spotify:track:7zb1n2Rdmh5arJ3WOp2Z5c
Bring on the Funkateers,Modern Romance,spotify:track:0yZAQv2HJgoF44rnwQpFYI
Rock the Night,Europe,spotify:track:3J9NEWkd9Cx1MwSSvDySkL
Touch Me I'm Sick,Mudhoney,spotify:track:6h9cVbA6ui8RqWV6xvIDKH
Soley Soley,Middle Of The Road,spotify:track:2uR4U3BpZRT5xhLbWTitfn
Iron Fist,MotÃ¶rhead,spotify:track:6U4obYIEti1TyF28b8dSJD
Nothing Looks the Same In the Light,Wham!,spotify:track:3TDtOOssVW9UkHqQPGbipA
Love Sensation - Shep Pettibone Remix,Loleatta Holloway,spotify:track:4zNf5BW4qzlvp9iVlkJDfR
Must Be the Music - Master Mix,Secret Weapon,spotify:track:5tl1WDgJFRRTYVTbXpk7Rg
Let's Straighten It Out,Latimore,spotify:track:3X3P8wgRL2wsLoPtVFO41d
I'm Totally Yours,Hi-Gloss,spotify:track:7zydPJi5akguxzKNF2DWOP
Space Age Love Song,A Flock Of Seagulls,spotify:track:6EwlLu39JZTDTJnnjFe07g
How Can I Fall ?,Breathe,spotify:track:62oGUBJQGPa3emMGMejBhm
Heartbeat City,The Cars,spotify:track:5QuQFz3QK3ILCpBgGHGss8
Burnin' for You,Blue Ãyster Cult,spotify:track:3fkPMWQ6cBNBLuFcPyMS8s
Dial a Cliche - 2011 Remaster,Morrissey,spotify:track:3HFRoJJ1tvsn2WHzZOLBtn
We Don't Need Another Hero (Thunderdome) - Extended Version,Tina Turner,spotify:track:6gwQb02R2plJscSZr7QVoJ
Dancing In the Dark,Bruce Springsteen,spotify:track:7FwBtcecmlpc1sLySPXeGE
Walk Away,Sisters of Mercy,spotify:track:7o3wwWcDjjzY4T5YJdQ7Al
Just Let Me Wait,Jennifer Holliday,spotify:track:52ILBEtUvIWM8DxS0Vp6jB
(I Just) Died In Your Arms,Cutting Crew,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm
"Let's Get Funky Tonight - 12"" Version","Evelyn ""Champagne"" King",spotify:track:6DF4gZcBPFrKkEweWgnB5X
With Or Without You - Remastered,U2,spotify:track:5JGEAz15LkPoOtFHttDtVs
Lose Your Love - This Club Mix,Blancmange,spotify:track:29KDumz7QN04eCLQlyv9d8
One In A Million,Guns N' Roses,spotify:track:3x5hjcXGWctsbT4AaLbv21
You Never Knew Me - Remastered 2007,Magazine,spotify:track:5pHbM0btMx4xNpoIafOFcB
Who Do You Want To Be,Oingo Boingo,spotify:track:6DJdI4kCC1tzyOMJiV8bwR
We Love You,The Psychedelic Furs,spotify:track:17xn2DlSY0bz1EWC5YC77B
Living On The Ceiling,Blancmange,spotify:track:7ygp7PFQu9oYlV72tSd2Wz
Counterfiet Woman,The Only Ones,spotify:track:5iKHs6crdy43HfOSkWEtk4
Too Late - Remix,Sylvester,spotify:track:4wZqTcHvJtkWNyVK4kDY1u
Keep Goin' On,Gary Bartz,spotify:track:2sEbu2qMe4hBiwfNuvtF3a
