Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Move Love - feat. KING; Alternate Version,Robert Glasper,spotify:track:6RITLYvhY52tFA6E3VCqUn,0.304,0.551,1,-12.323,1,0.0861,0.652,0.000419,0.13,0.157,98.302,202896,4,33.99459,10
Pray To The Winds,Mechina,spotify:track:0HCurB8IVQJy0R9Cs1JYUk,0.448,0.989,2,-4.995,1,0.0655,1.49e-05,0.308,0.461,0.0363,127.507,361413,4,60.25022,11
Shadows,Marianas Rest,spotify:track:3poVFNnEwAjZgHnZXiiBXO,0.303,0.891,9,-7.02,1,0.0892,5.52e-06,0.00232,0.0873,0.259,99.982,377293,4,77.69756,13
Sanansaattaja,Noumena,spotify:track:2IAgSceKWiHWJIUSLslYeH,0.424,0.807,2,-7.753,0,0.0423,0.00391,0.37,0.112,0.294,139.962,590640,4,28.09268,21
Malfeitor,Watain,spotify:track:7sSARNnGSGx3HOd0ETUB31,0.101,0.9,4,-5.758,0,0.0633,4.35e-06,0.83,0.311,0.0682,158.97,418013,4,50.8998,18
Time Flies - Live,Porcupine Tree,spotify:track:0iudEeJHsDx7r393yBGF2e,0.209,0.477,5,-13.451,1,0.0296,0.02,0.0496,0.922,0.176,65.307,727373,4,63.51913,30
A Toast and a Spirit,Vacation Manor,spotify:track:3vTG7B4eu8jsrSQGuxYygG,0.628,0.797,4,-6.103,1,0.0371,0.0234,3.57e-06,0.112,0.497,128.025,210653,4,38.6422,12
Serpents,Jagged Vision,spotify:track:6n0iY0foKMgReiD6trWx1B,0.379,0.957,7,-5.159,1,0.0907,0.000104,0.425,0.125,0.155,99.927,233500,4,18.32538,11
MlÃÂÃÂÃÂÃÂ dek,Russian Circles,spotify:track:1begl8Bjbo8q1eVtr5XGOV,0.223,0.908,6,-5.188,1,0.0704,0.000647,0.876,0.065,0.174,161.61,459866,4,24.84223,18
What Has Been Will Always Be,Man Mountain,spotify:track:3fMr2reipaLJl5qrqB9xoJ,0.401,0.505,1,-9.084,1,0.0294,0.000719,0.857,0.132,0.0545,134.988,593116,4,29.28862,23
Divide And Conquer,Shadows Fall,spotify:track:7CPYg7hCGEctiOKc9imzjC,0.492,0.928,0,-3.596,0,0.0621,0.000395,0.00606,0.365,0.655,90.022,185253,4,54.79947,8
Save Me Now,Billy Idol,spotify:track:3ShZSJ9WGPEWaKrQZP5lSk,0.585,0.893,11,-5.399,1,0.0474,0.0705,0,0.112,0.6,116.064,271900,4,22.29206,12
Lords Of Summer,Metallica,spotify:track:0JC8ll0oq3zgfinz7nKeRZ,0.227,0.972,11,-3.906,1,0.0651,1.18e-05,0.00415,0.263,0.562,165.56,430000,4,42.81973,20
Don't,Ed Sheeran,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,219840,4,51.3509,9
Whatever It Takes,Hollywood Undead,spotify:track:2ouOVzQTzSsLa2OH1Zxhvu,0.686,0.862,7,-3.426,1,0.034,0.00207,1.12e-05,0.148,0.472,87.48,187654,4,23.4072,8
Pony - Recorded at Spotify Studios NYC,Leon Bridges,spotify:track:0exKMPo2iind68yWTaHCrr,0.7,0.447,8,-11.083,0,0.0354,0.532,0.000192,0.0878,0.829,144.726,256893,4,87.89828,11
Leave Me No Light,April Rain,spotify:track:1gfRRkptGNdhfsadS64Sm3,0.553,0.281,9,-9.753,0,0.0292,0.629,0.807,0.111,0.112,133.027,419135,4,29.8592,18
False Light,ISIS,spotify:track:77TyyABixZqsu9TytzIPC6,0.56,0.936,9,-6.97,1,0.0289,0.0117,0.872,0.177,0.232,120.001,330307,4,30.77366,14
Amorphous,Fjord,spotify:track:45YLh8Damfks2sbJOmdEjW,0.32,0.606,0,-9.365,0,0.033,0.0544,0.966,0.189,0.0669,175.921,404318,3,42.64309,12
Unmake the Wild Light,65daysofstatic,spotify:track:1IZagp3xw9pdlkLeBvMPIb,0.462,0.796,0,-8.027,0,0.053,0.0125,0.866,0.186,0.109,163.017,383960,1,75.28459,15
Route One 359,Sigur RÃÂÃÂÃÂÃÂ³s,spotify:track:7hLjUc0zotQKfjOKi1hMZL,0.104,0.17,4,-17.728,1,0.0367,0.868,0.275,0.117,0.0335,166.678,240001,5,97.25728,4
big fat mouth,Arlie,spotify:track:0ZiGRciYMWrDvCPNM0T21o,0.605,0.827,2,-5.15,1,0.0454,0.0678,7.62e-06,0.182,0.858,128.023,218773,4,46.60412,10
Gateways,Dimmu Borgir,spotify:track:3qkf1Y3skRm04Vxw9dfi2P,0.172,0.943,10,-4.377,0,0.107,0.000224,0.000132,0.168,0.15,165.144,310027,5,45.40194,11
WST,Pelican,spotify:track:5IbT9Ig9XPPr2OrHwC8sbC,0.444,0.264,11,-13.217,1,0.0363,0.445,0.821,0.144,0.113,119.877,191573,4,49.83896,8
Anxiety: Despair,Escaping Aghartha,spotify:track:4PgA4F3mDDUPD3BClUXIk7,0.159,0.174,7,-5.944,1,0.0528,0.108,0.882,0.355,0.0367,109.729,566586,3,61.56636,33
Power Out...,Killbody Tuning,spotify:track:3PIff94Vae4FjvrjI0ITju,0.541,0.662,2,-7.519,0,0.0275,0.00344,0.586,0.427,0.138,144.008,268547,4,27.34935,13
